Frequency (Hz),PSD of band-integrated power (dB^2/Hz),Period (s)
0.004999999999327756,79.37857850982347,200.00000002688978
0.009999999998655511,24.850126471686348,100.00000001344489
0.014999999997983267,1.5282362646586485,66.66666667562993
0.019999999997311023,2.495740629061809,50.000000006722445
0.02499999999663878,3.236815475176548,40.00000000537795
0.029999999995966534,4.298066674699667,33.33333333781496
0.03499999999529429,5.520107339737656,28.57142857526997
0.039999999994622046,9.085186446500117,25.000000003361222
0.0449999999939498,205.83982596674934,22.222222225209972
0.04999999999327756,1259.9507191936214,20.000000002688974
0.05499999999260531,680.4582796530237,18.181818184262706
0.05999999999193307,20.69003347681251,16.66666666890748
0.06499999999126083,12.570257057825206,15.384615386683828
0.06999999999058858,1.9867086560859726,14.285714287634985
0.07499999998991634,3.3864875245811232,13.333333335125984
0.07999999998924409,2.530989839306163,12.500000001680611
0.08499999998857184,4.227249032892756,11.764705883934694
0.0899999999878996,9.89854441305596,11.111111112604986
0.09499999998722736,12.736917190895978,10.526315790888935
0.09999999998655512,45.82970542397394,10.000000001344487
0.10499999998588287,36.21470103589688,9.52380952508999
0.10999999998521062,10.90986008574788,9.090909092131353
0.11499999998453839,4.902137860295246,8.695652175082163
0.11999999998386614,1.5080389653450967,8.33333333445374
0.12499999998319389,0.9540775558089747,8.000000001075591
0.12999999998252165,1.2080952058812804,7.692307693341914
0.13499999998184942,1.531203911009347,7.407407408403325
0.13999999998117715,0.954869015837805,7.142857143817492
0.14499999998050492,3.404270783340394,6.896551725065164
0.14999999997983268,11.22842970064323,6.666666667562992
0.15499999997916042,24.298854707057636,6.451612904093219
0.15999999997848818,9.353265038220398,6.250000000840306
0.16499999997781595,3.402547966316929,6.060606061420902
0.16999999997714368,2.088859708749709,5.882352941967347
0.17499999997647145,0.04132368170218384,5.714285715053993
0.1799999999757992,0.405703961553979,5.555555556302493
0.18499999997512695,1.27353205573542,5.405405406132156
0.18999999997445471,0.7488976879352753,5.2631578954444675
0.19499999997378248,2.049538815649033,5.128205128894609
0.19999999997311024,4.516846165530945,5.000000000672244
