Signal key,Signal label,Time (s),Signal,Baseline,Detrended signal,Envelope,Envelope fit,Asymptotic envelope fit,Linear envelope fit,Normalized envelope,Normalized asymptotic envelope fit
wall_temperature,$T_{\mathrm{w}}$,321.7,150.864409776,150.04428834151247,0.8201214344875325,2.0179172905902325,0.8572758557544383,0.8572758557544383,6.834719656901374,0.6516788644334381,0.2768540409408198
wall_temperature,$T_{\mathrm{w}}$,321.8,150.864409776,150.05462672277005,0.8097830532299497,2.000860409929369,0.8746528996495598,0.8746528996495598,6.838530833999352,0.6461704084269995,0.28246589246991316
wall_temperature,$T_{\mathrm{w}}$,321.90000000000003,150.86440977599995,150.06493585876555,0.7994739172343941,1.9840401591944727,0.8920131418228321,0.8920131418228321,6.84234201109733,0.6407383711727884,0.28807231794558685
wall_temperature,$T_{\mathrm{w}}$,322.00000000000006,150.75212760199997,150.07521574949894,0.6769118525010356,1.9674565383855436,0.9093565985197057,0.9093565985197057,6.8461531881953075,0.6353827526708048,0.2936733226142486
wall_temperature,$T_{\mathrm{w}}$,322.1000000000001,150.75212760199997,150.08546639497024,0.6666612070297333,1.9511095475025815,0.9266832859699181,0.9266832859699181,6.849964365293285,0.6301035529210487,0.2992689117172315
wall_temperature,$T_{\mathrm{w}}$,322.2000000000001,150.75212760199997,150.09568779517946,0.6564398068205151,1.9349991865455867,0.9439932203875199,0.9439932203875199,6.853775542391263,0.6249007719235201,0.3048590904908028
wall_temperature,$T_{\mathrm{w}}$,322.3000000000001,150.7521276019992,150.10587995012656,0.6462476518726419,1.919125455514559,0.9612864179708782,0.9612864179708782,6.857586719489241,0.6197744096782191,0.31044386416616476
wall_temperature,$T_{\mathrm{w}}$,322.40000000000015,150.07919943099998,150.11604285981159,-0.03684342881160774,1.9034883544094985,0.9785628949027056,0.9785628949027056,6.861397896587219,0.6147244661851455,0.316023237969464
wall_temperature,$T_{\mathrm{w}}$,322.50000000000017,150.07919943099998,150.1261765242345,-0.04697709323451704,1.8880878832304049,0.995822667350059,0.995822667350059,6.865209073685195,0.6097509414442994,0.32159721712179135
wall_temperature,$T_{\mathrm{w}}$,322.6000000000002,150.07919943099998,150.13628094339535,-0.05708151239537074,1.8729240419772788,1.0130657514643706,1.0130657514643706,6.869020250783173,0.604853835455681,0.32716580683919155
wall_temperature,$T_{\mathrm{w}}$,322.7000000000002,150.079199431001,150.14635611729406,-0.06715668629306037,1.8579968306501198,1.0302921633814528,1.0302921633814528,6.872831427881151,0.6000331482192901,0.33272901233266505
wall_temperature,$T_{\mathrm{w}}$,322.80000000000024,150.53496541899995,150.15640204593072,0.3785633730692268,1.8433062492489278,1.0475019192215174,1.0475019192215174,6.8766426049791285,0.5952888797351266,0.3382868388081742
