Time (s),Band-integrated AE waveform power proxy (V^2),Band-integrated AE waveform power proxy (dB re V^2)
0.004096,8.347546522882308e-09,-80.78441151839358
0.388598,7.146441628803253e-09,-81.4591014919908
0.7731,9.018649169768481e-09,-80.44858507031087
1.157602,9.396314736994096e-09,-80.27042444613619
1.542104,7.144391183550575e-09,-81.46034774135427
1.926606,8.061653175745617e-09,-80.9357588977263
2.311108,7.301662706418232e-09,-81.36578232756418
2.69561,7.770427215084447e-09,-81.0955510319995
3.080112,9.083909048274014e-09,-80.41727222760366
3.464614,7.891119519478703e-09,-81.0286137871181
3.849116,7.972514867041925e-09,-80.98404662217553
4.233618,1.0176896614222675e-08,-79.92384637401696
4.61812,8.233987201747454e-09,-80.8438981237069
5.002622,9.602728020175772e-09,-80.17605371564153
5.387124,8.966875700328358e-09,-80.47358850430156
5.771626,8.401544773417428e-09,-80.75640853832168
6.156128,1.0272334567834776e-08,-79.88330844162465
6.54063,7.506019510090411e-09,-81.24590311077533
6.925132,7.901687737710567e-09,-81.02280136951308
7.309634,8.373255989004553e-09,-80.77105631243316
7.694136,6.9683825596024794e-09,-81.56868014865536
8.078638,7.742729039041466e-09,-81.11105938839033
8.46314,7.795379992131802e-09,-81.08162709921744
8.847642,6.9067717378881786e-09,-81.60724896768386
9.232144,5.908561426845748e-09,-82.28518245080345
9.616646,7.723530076176895e-09,-81.12184157928863
10.001148,5.972847457612067e-09,-82.23818576691619
10.38565,8.595768499755676e-09,-80.65715289391916
10.770152,6.490258745722155e-09,-81.87737988931623
11.154654,8.817730826705596e-09,-80.54643162740439
11.539156,8.983642263495765e-09,-80.4654755038897
11.923658,7.838004347994561e-09,-81.05794499940652
12.30816,8.484867272813459e-09,-80.71354946880254
12.692662,8.435126468440907e-09,-80.7390840161851
13.077164,8.836665953489265e-09,-80.53711562037006
13.461666,8.168366239348962e-09,-80.87864798325343
13.846168,6.3234461528249415e-09,-81.99046175315623
14.23067,8.85491813458837e-09,-80.5281544959089
14.615172,7.345152487108983e-09,-81.33999183723614
14.999674,8.925757379522468e-09,-80.49354922353953
15.384176,7.497870255070056e-09,-81.2506207898444
15.768678,8.483894023568443e-09,-80.71404765104425
16.15318,1.0627748629700274e-08,-79.73558726187346
16.537682,9.716128565259176e-09,-80.12506747179668
16.922184,9.631645772653274e-09,-80.16299498035055
17.306686,1.0930787328962749e-08,-79.61348555313864
17.691188,7.738109675526842e-09,-81.11365119130339
18.07569,8.630068170404007e-09,-80.63985773703868
18.460192,6.816436255300196e-09,-81.66442622289688
18.844694,6.435319992205751e-09,-81.91429853204966
19.229196,8.308172412214901e-09,-80.80494499510964
19.613698,8.565322324262714e-09,-80.6725628932255
19.9982,8.606905124641568e-09,-80.65152984308853
20.382702,6.4771229032434514e-09,-81.886178621411
20.767204,7.515349894535007e-09,-81.2405079502007
21.151706,9.230682248727042e-09,-80.34766198659096
21.536208,7.368812027260261e-09,-81.3260252185485
21.92071,8.97423678351909e-09,-80.4700247587503
22.305212,7.020486004545826e-09,-81.53632822088647
22.689714,7.739703901318443e-09,-81.11275653849832
23.074216,7.372954073718037e-09,-81.32358471317701
23.458718,6.9785153448170105e-09,-81.56236962210039
23.84322,7.876479652390458e-09,-81.03667844585271
24.227722,7.493592514348e-09,-81.25309926612067
24.612224,9.535449495080772e-09,-80.20658829767213
24.996726,6.812107703528887e-09,-81.66718494197619
25.381228,8.304184985243686e-09,-80.80702984980233
25.76573,7.3356181403615444e-09,-81.34563284187846
26.150232,7.777447833137705e-09,-81.0916289321912
26.534734,8.195113920314919e-09,-80.86445004922004
26.919236,1.0721989122111648e-08,-79.69724637719673
27.303738,8.202860106152185e-09,-80.86034694964233
27.68824,7.679943422529516e-09,-81.14641979366111
28.072742,8.710671048884906e-09,-80.59948386714281
28.457244,7.415032729974756e-09,-81.29886927654337
28.841746,9.941640443688135e-09,-80.0254194791055
29.226248,1.0141793159199379e-08,-79.93885251087926
29.61075,7.219804394789298e-09,-81.41474568554239
29.995252,1.0606699811966885e-08,-79.74419722262793
30.379754,6.8456951866389504e-09,-81.64582442286637
30.764256,7.912595198599282e-09,-81.01681051827335
31.148758,6.91197370671355e-09,-81.6039792259093
31.53326,7.681665322096457e-09,-81.14544618276412
31.917762,9.681032788575026e-09,-80.14078308967116
32.302264,9.794202456887054e-09,-80.09030922882627
32.686766,8.870666583486123e-09,-80.52043744018044
33.071268,8.872715860082257e-09,-80.51943426108042
33.45577,9.272982994412402e-09,-80.32780536662587
33.840272,8.922026402120203e-09,-80.49536495925365
34.224774,6.90625540679652e-09,-81.60757364632482
34.609276,8.348336753660773e-09,-80.78400040762922
34.993778,6.891148261049643e-09,-81.6170840626539
35.37828,6.788952204480297e-09,-81.68197248830916
35.762782,8.573268904912531e-09,-80.66853554193696
36.147284,7.292006108453978e-09,-81.37152976211966
36.531786,6.3815013367334204e-09,-81.95077135455304
36.916288,9.81396664399179e-09,-80.08155422445884
37.30079,1.174460316359821e-08,-79.30161652940963
37.685292,8.226246659270038e-09,-80.84798272561602
38.069794,9.682394794886671e-09,-80.14017213190152
38.454296,2.202444834651034e-08,-76.57094960694207
38.838798,8.239974679211628e-08,-70.84074122853318
39.2233,3.5941688266511325e-08,-74.44401526904024
39.607802,3.6877494850901385e-07,-64.33238588957424
39.992304,8.949827594178559e-08,-70.48185330674934
40.376806,1.2501725459595328e-07,-69.03030042522639
40.761308,1.514653420971637e-06,-58.19686729919922
41.14581,5.039042251326933e-06,-52.976520001595695
41.530312,2.6026855736209244e-06,-55.84578295159869
41.914814,2.998043007266408e-06,-55.231621414395356
42.299316,5.19005340203747e-07,-62.84828173540583
42.683818,8.256185374482862e-07,-60.832205644800446
43.06832,7.177022980127129e-07,-61.44055663196912
43.452822,5.161069471481831e-07,-62.87260294993573
43.837324,3.17472891122242e-07,-64.98293353013463
44.221826,3.6450649987735856e-07,-64.3829472294079
44.606328,4.3165848206613886e-07,-63.648597208055826
44.99083,2.940928400270183e-07,-65.31515548680991
45.375332,4.586473236825672e-07,-63.38521136361735
45.759834,3.93526762925971e-07,-64.0502572684791
46.144336,7.406827231966069e-07,-61.303677853712024
46.528838,7.594775843205957e-07,-61.19485039641266
46.91334,8.486106367573514e-07,-60.71291528949238
47.297842,8.291560895153145e-07,-60.81363705355486
47.682344,6.115626822279734e-07,-62.13559023254704
48.066846,9.035417622786767e-07,-60.440517692701555
48.451348,7.885440505807831e-07,-61.03174040585184
48.83585,7.531949429231806e-07,-61.230926045713716
49.220352,7.956988641352638e-07,-60.99251261896366
49.604854,7.744855210797515e-07,-61.1098669691568
49.989356,1.3167186472035685e-06,-58.805070139680836
50.373858,1.0158482518406053e-06,-59.931711624363196
50.75836,1.557365724894884e-06,-58.076093876550374
51.142862,1.272266411912721e-06,-58.95421938130313
51.527364,8.665108531698593e-07,-60.62225993316755
51.911866,9.481559714907434e-07,-60.231202154192644
52.296368,9.88082530943688e-07,-60.05206778857229
52.68087,9.004732734839274e-07,-60.45529172739731
53.065372,1.7301010140022229e-06,-57.619285393318755
53.449874,9.294594759052388e-07,-60.31769540560611
53.834376,1.8156957838974611e-06,-57.40956914869001
54.218878,2.5984858111753236e-06,-55.852796502650534
54.60338,2.4840348194118296e-06,-56.04842320825394
54.987882,1.368363460091992e-06,-58.637985314559124
55.372384,1.1952947711815073e-06,-59.22524980313264
55.756886,1.1536806003739788e-06,-59.37914410153369
56.141388,1.5831819761804845e-06,-58.00469163022172
56.52589,1.7325481009199791e-06,-57.61314699184189
56.910392,2.174552534621912e-06,-56.6263009582996
57.294894,2.1658626457281305e-06,-56.64369088843572
57.679396,2.0795786254594085e-06,-56.8202465502608
58.063898,3.3300059219756986e-06,-54.7755499415762
58.4484,2.303106890569436e-06,-56.37685905324001
58.832902,2.06366410649281e-06,-56.85360989490509
59.217404,1.8517140590012787e-06,-57.3242607606959
59.601906,2.2278702707259727e-06,-56.521101018053926
59.986408,2.528474461539629e-06,-55.97141428532694
60.37091,3.6079623426367795e-06,-54.42738003965572
60.755412,1.893844864887142e-06,-57.22655599294143
61.139914,2.0448094788499177e-06,-56.89347150316162
61.524416,2.9955450879596063e-06,-55.235241391666925
61.908918,2.2950453751790306e-06,-56.392087236364965
62.29342,2.565416450770052e-06,-55.908421246688505
62.677922,2.861174514157045e-06,-55.43455652077998
63.062424,2.6025741822993546e-06,-55.84596882757248
63.446926,2.7304806020244e-06,-55.63760904447496
63.831428,2.9079087353382594e-06,-55.36419227923372
64.21593,2.7704367028402454e-06,-55.574517678723254
64.600432,2.511822532320074e-06,-56.00011048038651
64.984934,2.979659953132994e-06,-55.258332959587975
65.369436,2.5476377318158322e-06,-55.938623276156825
65.753938,3.0087714343578124e-06,-55.21610802810752
66.13844,2.775841578616082e-06,-55.56605323338262
66.522942,2.475910697100811e-06,-56.062650238101455
66.907444,2.4672733882508735e-06,-56.07782725487773
67.291946,3.148420968443065e-06,-55.019072038705275
67.676448,3.484730904165973e-06,-54.57830753103423
68.06095,4.250100741648419e-06,-53.716007755912244
68.445452,3.382897283838933e-06,-54.707111886557634
68.829954,2.619410887848589e-06,-55.8179637162868
69.214456,2.6835884145118575e-06,-55.71284091712114
69.598958,5.124035314952446e-06,-52.90387885750903
69.98346,2.8194472265548757e-06,-55.498360299745485
70.367962,5.198441391984151e-06,-52.841268479660926
70.752464,3.3864287216203277e-06,-54.70258061097853
71.136966,3.1368694026738716e-06,-55.03503561913902
71.521468,2.7030269320796216e-06,-55.681496271110056
