Signal key,Signal label,Y label,Color,window_start_s,window_end_s,sample_count,sample_spacing_s,baseline_window_s,envelope_smooth_window_s,envelope_slope_per_s,envelope_intercept,envelope_r2,envelope_p_value,envelope_fit_start,envelope_fit_end,envelope_fit_percent_change,envelope_normalization
wall_temperature,$T_{\mathrm{w}}$,Wall temperature (C),tab:purple,300.0,700.0,4001,0.10000000000002274,75.0,35.0,0.04158183021679525,-7.406962599842965,0.8163343836667557,0.0,5.06758646519561,21.70031855191371,328.21802254292805,1.797118440541949
heat_flux,$q''$,Heat flux (W/cm$^2$),tab:red,300.0,700.0,4001,0.10000000000002274,75.0,35.0,0.0827760265498434,-14.402674846821476,0.8164437250479435,0.0,10.430133118131543,43.5405437380689,317.44954973181365,4.06551921007356
hydrophone_power,Hydrophone power,Band-integrated power (V$^2$),tab:blue,300.0,700.0,1250,0.32000000004302365,75.0,35.0,3.538331931119377e-05,-0.006894294060437622,0.872039394410249,0.0,0.003720701732920509,0.017874029457398015,380.3940423186802,0.0028361219793483017
