Time (s),Peak frequency (Hz),Spectral centroid (Hz),Spectral bandwidth (Hz)
0.004096,4394.53125,14992.270394779001,34725.14570378679
0.388598,3295.8984375,16011.159785197124,36405.93414182409
0.7731,5493.1640625,14527.187855657457,34294.64631242299
1.157602,3051.7578125,13196.685903392443,32291.32857346261
1.542104,3906.25,16776.18192205537,36572.47347967953
1.926606,2807.6171875,14727.247798229972,34227.50439801005
2.311108,3540.0390625,16942.40346890483,37555.62262526171
2.69561,2075.1953125,16047.823460950263,35944.9190850739
3.080112,5249.0234375,14290.522956180715,33433.31368440915
3.464614,3784.1796875,14939.978358594224,34988.59016594118
3.849116,4882.8125,14897.504872637553,34762.27427132951
4.233618,5126.953125,13297.467378657415,31788.540415282867
4.61812,5493.1640625,15078.577402323941,35060.21072092943
5.002622,3784.1796875,13523.510542042168,32673.841690815814
5.387124,3173.828125,14191.703852839682,34344.6678312527
5.771626,3295.8984375,14332.166309188282,34417.75403306984
6.156128,3662.109375,12325.9711553959,31457.92572956354
6.54063,3784.1796875,16006.290060324045,36484.21139731333
6.925132,4028.3203125,15732.15011126948,35789.13622337517
7.309634,5126.953125,15131.382593371372,34775.01992646407
7.694136,6103.515625,17224.596085454254,36965.44206009454
8.078638,4516.6015625,15675.084153474534,36268.01544343023
8.46314,3173.828125,15134.900173030239,35632.917682957894
8.847642,4760.7421875,17508.798604669235,38008.63792964189
9.232144,3051.7578125,18966.804349517075,40972.31601877589
9.616646,3417.96875,16333.467783762995,37384.183681727685
10.001148,4272.4609375,19032.865984097145,40453.37398001842
10.38565,4760.7421875,14819.157705627327,35090.924859546125
10.770152,5249.0234375,18104.21960678919,38749.430789139085
11.154654,3417.96875,14466.88473710545,34403.274294979725
11.539156,2807.6171875,14484.11112170177,33883.922545800575
11.923658,3417.96875,15516.383669574998,35405.334781237805
12.30816,3417.96875,14358.983374151834,34636.58180776117
12.692662,2807.6171875,14535.278227006258,34556.90497351293
13.077164,2563.4765625,15315.584387728784,35718.040555418615
13.461666,3295.8984375,14860.285423011908,36027.141582366785
13.846168,2929.6875,17989.89909778384,37994.196501378276
14.23067,3662.109375,14025.183621294005,32936.839811391816
14.615172,2685.546875,17883.77820403692,37082.97598355352
14.999674,3540.0390625,16980.671424798158,33915.028052871974
15.384176,6713.8671875,21467.927547340558,38220.300250256
15.768678,4882.8125,19544.052561739314,35890.71007067094
16.15318,4638.671875,15584.618571043562,32115.622949205754
16.537682,4028.3203125,15215.114607320098,32528.53566050429
16.922184,4394.53125,14153.235991519192,32218.34432019122
17.306686,4150.390625,12797.56792494949,30245.253682732793
17.691188,3173.828125,16465.541223388936,37383.28624324192
18.07569,5004.8828125,15575.586059253468,33742.83469456221
18.460192,7568.359375,18327.343854459883,38171.81706339594
