time_s,nominal_input_flux,stored_energy_state,oscillator_displacement,release_velocity_state,wall_heat_flux_proxy,acoustic_power_proxy
0.0,1.0,1.81,0.02,0.0,1.0,0.0
0.02,1.0,1.8099993328147426,0.019998665629484973,-6.671852575136407e-05,0.9999999976995199,0.0
0.04,1.0,1.8099979984885755,0.01999599697715104,-0.0001334326166967406,0.9999999907990197,0.0
0.06,1.0,1.8099959971101924,0.01999199422038462,-0.00020013783832095549,0.9999999793003687,0.0
0.08,1.0,1.8099933288126253,0.019986657625250752,-0.00026682975669331825,0.9999999632060467,0.0
0.1,1.0,1.8099899937732378,0.019979987546475526,-0.00033350393876125446,0.9999999425191441,0.0
0.12,1.0,1.8099859922137114,0.019971984427422648,-0.0004001559526438807,0.9999999172433621,0.0
0.14,1.0,1.809981324400032,0.019962648800064136,-0.00046678136792550304,0.9999998873830109,0.0
0.16,1.0,1.8099759906424726,0.019951981284945155,-0.0005333757559490194,0.9999998529430102,0.0
0.18,1.0,1.8099699912955716,0.01993998259114297,-0.0005999346901092069,0.9999998139288884,0.0
0.2,1.0,1.8099633267581101,0.019926653516220052,-0.0006664537461458734,0.9999997703467813,0.0
0.22,1.0,1.8099559974730857,0.019911994946171314,-0.0007329285024368568,0.9999997222034325,0.0
0.24,1.0,1.8099480039276827,0.019896007855365497,-0.000799354540290849,0.9999996695061916,0.0
0.26,1.0,1.8099393466532403,0.019878693306480698,-0.0008657274442400286,0.9999996122630138,0.0
0.28,1.0,1.8099300262252171,0.019860052450434047,-0.0009320428023324806,0.9999995504824589,0.0
0.3,1.0,1.8099200432631528,0.019840086526305558,-0.0009982962064243853,0.9999994841736907,0.0
0.32,1.0,1.809909398430628,0.019818796861256118,-0.0010644832524719559,0.9999994133464751,0.0
0.34,1.0,1.80989809243522,0.019796184870439656,-0.0011305995408231076,0.99999933801118,0.0
0.36,1.0,1.809886126028455,0.019772252056909478,-0.0011966406765088358,0.9999992581787737,0.0
0.38,1.0,1.8098735000057595,0.019747000011518794,-0.0012626022695342873,0.9999991738608235,0.0
0.4,1.0,1.8098602152064078,0.019720430412815404,-0.0013284799351695028,0.9999990850694946,0.0
0.42,1.0,1.8098462725134654,0.01969254502693061,-0.0013942692942398138,0.9999989918175491,0.0
0.44,1.0,1.8098316728537311,0.019663345707462292,-0.0014599659734158726,0.9999988941183444,0.0
0.46,1.0,1.809816417197676,0.019632834395352225,-0.0015255656055032977,0.9999987919858313,0.0
0.48,1.0,1.8098005065593787,0.019601013118757588,-0.0015910638297319147,0.9999986854345532,0.0
0.5,1.0,1.8097839419964583,0.019567883992916695,-0.0016564562920445742,0.9999985744796441,0.0
0.52,1.0,1.8097667246100044,0.019533449220008985,-0.0017217386453855274,0.9999984591368274,0.0
0.54,1.0,1.8097488555445047,0.019497711089009218,-0.0017869065499883398,0.9999983394224137,0.0
0.56,1.0,1.8097303359877681,0.01946067197553595,-0.001851955673663325,0.9999982153532994,0.0
0.58,1.0,1.8097111671708472,0.01942233434169426,-0.001916881692084479,0.9999980869469647,0.0
