Time (s),Band-integrated AE waveform power proxy (V^2),Band-integrated AE waveform power proxy (dB re V^2)
60.041645,3.6827609227445276e-06,-54.3382647373345
60.461488,5.369173643837689e-06,-52.70092550340905
60.881331,3.348320070725356e-06,-54.75173033861039
61.301174,4.067769568794721e-06,-53.90643656987096
61.721017,3.2259786052940626e-06,-54.91338517180641
62.14086,4.324815327834712e-06,-53.640324324337705
62.560703,4.853436148421269e-06,-53.13950679560146
62.980546,5.168307045875754e-06,-52.86651693084106
63.400389,3.8102770823451967e-06,-54.19043441395754
63.820232,4.719731734340121e-06,-53.260826856046336
64.240075,4.5301545338974996e-06,-53.43886982959741
64.659918,6.198993635555755e-06,-52.07678809533962
65.079761,5.974478332309261e-06,-52.23700009591579
65.499604,9.271085454807872e-06,-50.32869415862378
65.919447,6.189240258640232e-06,-52.08362658206133
66.33929,4.725581677933605e-06,-53.25544725997355
66.759133,4.625942159253253e-06,-53.34799801758695
67.178976,3.916980970755717e-06,-54.07048538310664
67.598819,6.764013876445511e-06,-51.697955101136905
68.018662,3.317002397993181e-06,-54.79254214511621
68.438505,9.776817104431989e-06,-50.09802509114969
68.858348,5.121623939711138e-06,-52.90592313197571
69.278191,5.6162427848393045e-06,-52.50554126334638
69.698034,4.487298186630771e-06,-53.480150700912894
70.117877,4.246003925458396e-06,-53.720196086617456
70.53772,6.475952502533601e-06,-51.8869634521255
70.957563,4.814113157179356e-06,-53.17483705718444
71.377406,6.504494598532085e-06,-51.86786442622115
71.797249,7.2973145338246066e-06,-51.36836934087138
72.217092,5.680237255499346e-06,-52.45633524042107
72.636935,6.676620779364126e-06,-51.754432902494656
73.056778,5.184124855234357e-06,-52.85324547398585
73.476621,4.700444173396594e-06,-53.27861101013086
73.896464,5.928080219758898e-06,-52.27085928044433
74.316307,5.400716233261789e-06,-52.67548641005441
74.73615,5.271125057168905e-06,-52.7809668004873
75.155993,5.503098227507963e-06,-52.59392735183765
75.575836,3.962831077897547e-06,-54.0199443977798
75.995679,4.811349121095961e-06,-53.177331286795635
76.415522,6.81899408892587e-06,-51.662796860252286
76.835365,1.1137041804477931e-05,-49.53230150149702
77.255208,6.4054575303397625e-06,-51.934498439356574
77.675051,4.732848487960022e-06,-53.248773983201175
78.094894,4.767399433922172e-06,-53.2171845942581
78.514737,3.8395345847586115e-06,-54.15721416132787
78.93458,6.153982667131261e-06,-52.10843731289706
79.354423,5.232372115513294e-06,-52.813013774576206
79.774266,4.073762430716602e-06,-53.900043013145535
80.194109,8.055181276109209e-06,-50.93924681647237
80.613952,6.810197711363435e-06,-51.668402796132455
81.033795,6.580121981866306e-06,-51.81766055389025
81.453638,8.59332757588624e-06,-50.6583863267532
81.873481,6.742262126439835e-06,-51.711943669361666
82.293324,5.5973636036947375e-06,-52.5201648048845
82.713167,3.2377808272577066e-06,-54.89752552968115
83.13301,6.440943767076172e-06,-51.91050492453331
83.552853,4.61573347819634e-06,-53.35759276171728
83.972696,7.533253952921978e-06,-51.23017391854066
84.392539,4.452991087785963e-06,-53.51348174064657
84.812382,6.287157631199733e-06,-52.01545650910824
85.232225,3.7741364267707777e-06,-54.2318240509243
85.652068,5.448586632171983e-06,-52.637161394580644
86.071911,3.702641968902085e-06,-54.3148828051
86.491754,5.984265287890325e-06,-52.229891620498286
86.911597,3.1526115724388915e-06,-55.01329534592437
87.33144,5.012074653522266e-06,-52.99982468928622
87.751283,5.716057974906567e-06,-52.42903375043012
88.171126,6.70572505473597e-06,-51.73554257298326
88.590969,5.980714298594927e-06,-52.23246943534606
89.010812,6.087922275876963e-06,-52.155309008125855
89.430655,5.1091895165367426e-06,-52.91647987617282
89.850498,6.071060970654548e-06,-52.16735405557975
90.270341,3.1330611278197333e-06,-55.0403113170118
90.690184,4.0737314972933265e-06,-53.90007599068476
91.110027,4.098445599555483e-06,-53.873808251179646
91.52987,4.93166965977166e-06,-53.070060216430335
91.949713,5.315315227106951e-06,-52.74470974351688
92.369556,4.878542578282613e-06,-53.1170990028098
92.789399,3.916776571868353e-06,-54.07071201587751
93.209242,7.402867021361195e-06,-51.30600051834567
93.629085,5.361107531760674e-06,-52.70745481716694
94.048928,5.142621313321838e-06,-52.88815454599728
94.468771,5.284090599557055e-06,-52.77029744700513
94.888614,6.075614698609315e-06,-52.16409775884582
95.308457,4.052957281967654e-06,-53.92227973683299
95.7283,5.488902434988334e-06,-52.60514488716066
96.148143,4.454687552050227e-06,-53.511827515999684
96.567986,4.922247019354011e-06,-53.07836595336495
96.987829,3.721266469498276e-06,-54.29309230250119
97.407672,5.093898993906075e-06,-52.929496708416096
97.827515,3.8366427260984e-06,-54.16048641069661
98.247358,3.9142756696361265e-06,-54.073485916606714
98.667201,4.461573632490148e-06,-53.50511935151306
99.087044,4.290036586966176e-06,-53.67539003980832
99.506887,7.046385630344949e-06,-51.52033592697781
99.92673,3.2656105591524083e-06,-54.86035608361036
100.346573,3.2137458529685798e-06,-54.92988470764182
100.766416,4.109923444696903e-06,-53.86166267626447
101.186259,3.471622037429837e-06,-54.5946756344767
101.606102,3.923527378561167e-06,-54.0632331251657
102.025945,3.5821766338717545e-06,-54.45853003293098
102.445788,3.5154584571202884e-06,-54.54018029843553
102.865631,2.9520903757959005e-06,-55.29870351080483
103.285474,6.013672532620658e-06,-52.20860224580682
103.705317,4.020251505813919e-06,-53.95746776723875
104.12516,3.867193028417694e-06,-54.12604149860105
104.545003,3.814835057663378e-06,-54.18524234929342
104.964846,4.517414119300045e-06,-53.45110095074418
105.384689,3.6001749289485117e-06,-54.43676396779556
105.804532,4.483485752854809e-06,-53.483842059577576
106.224375,5.565430102882035e-06,-52.54501267251931
106.644218,3.2950027551348846e-06,-54.82144217932073
107.064061,5.93764360418182e-06,-52.263858736618886
107.483904,3.92004605069765e-06,-54.0670883107995
107.903747,6.287717555595975e-06,-52.01506975047705
108.32359,4.796827684150131e-06,-53.19045882361054
108.743433,6.085119336623023e-06,-52.157309003051296
109.163276,4.685868924215012e-06,-53.292098639008785
109.583119,4.8074987863555935e-06,-53.18080816726329
110.002962,5.6295641012204145e-06,-52.49525231394401
110.422805,4.61163347329226e-06,-53.36145217173567
110.842648,5.007196109741054e-06,-53.004053988726085
111.262491,3.983848494581248e-06,-53.9969718611643
111.682334,5.050902701107017e-06,-52.966309975100856
112.102177,3.7366429094882692e-06,-54.275184033140604
112.52202,5.211032340441861e-06,-52.83076231528718
112.941863,4.239920592458094e-06,-53.72642277034675
113.361706,2.726705165085159e-06,-55.64361819190388
113.781549,4.458789325135446e-06,-53.50783047294406
114.201392,5.978436333103177e-06,-52.23412391380438
114.621235,4.05818114968708e-06,-53.916685707690164
115.041078,2.835139733858518e-06,-55.474255314278025
115.460921,3.3653110232935482e-06,-54.72974791927949
115.880764,3.527819594625509e-06,-54.52493631891102
116.300607,4.556230629724325e-06,-53.41394300685653
116.72045,3.356673883018609e-06,-54.74090850496196
117.140293,3.81944782664577e-06,-54.17999418023945
117.560136,4.462428332662358e-06,-53.50428745665006
117.979979,3.101128183400271e-06,-55.08480282071972
118.399822,4.618972701661054e-06,-53.35454604446028
118.819665,3.733963887531284e-06,-54.27829886580227
119.239508,3.683414453498942e-06,-54.33749412087033
119.659351,4.441646375586816e-06,-53.52456021033993
120.079194,6.331132115675476e-06,-51.98518623690633
120.499037,3.6775568354869897e-06,-54.34440606663617
120.91888,1.0182250537312578e-05,-49.921562212219044
121.338723,4.257006748351011e-06,-53.70895661364023
121.758566,4.746156411246031e-06,-53.236579535561546
122.178409,5.1857581115177656e-06,-52.8518774465943
122.598252,5.184224731459816e-06,-52.85316180455857
123.018095,2.988129826938059e-06,-55.24600537412887
123.437938,7.995710167857747e-06,-50.971429567727014
123.857781,3.5103265528572484e-06,-54.54652480825559
124.277624,4.094756901901066e-06,-53.87771876393623
124.697467,2.524978148025982e-06,-55.9774237605336
125.11731,2.304890121664471e-06,-56.37349773394603
125.537153,4.234147730994627e-06,-53.73233993355696
125.956996,3.1166668128060036e-06,-55.06309623483239
126.376839,4.2568715947585145e-06,-53.70909449782666
126.796682,3.3433843047043107e-06,-54.758137006375065
127.216525,3.7379504310320758e-06,-54.27366462098969
127.636368,5.011384505483358e-06,-53.00042274127748
128.056211,2.9130008084248182e-06,-55.356593948455945
128.476054,3.0687974599158408e-06,-55.13031773980556
128.895897,3.8222241713260265e-06,-54.17683845403745
129.31574,4.022094284799718e-06,-53.95547753011206
129.735583,2.9746941458976283e-06,-55.265576812219635
130.155426,3.0327449670198887e-06,-55.18164109330908
130.575269,6.2813272140798745e-06,-52.01948582241872
130.995112,3.927048833660922e-06,-54.05933698154689
131.414955,3.5461300252247324e-06,-54.5024534425616
131.834798,2.2262417455134062e-06,-56.52427677808149
132.254641,2.2710843331865526e-06,-56.43766738630313
132.674484,2.0379118352165942e-06,-56.908146085077895
133.094327,4.081934119542525e-06,-53.89134008867874
133.51417,2.092674230186061e-06,-56.79298373689121
133.934013,3.2282230960644874e-06,-54.91036459686725
134.353856,4.068022768177811e-06,-53.906166250545255
134.773699,3.096637205942968e-06,-55.09109672488323
135.193542,3.16522864770098e-06,-54.99594912234889
135.613385,1.6384449900825866e-06,-57.85568135242627
136.033228,2.476509668844547e-06,-56.06159972095966
136.453071,3.5715447776701476e-06,-54.47143900607855
136.872914,2.3345562662188932e-06,-56.3179565447513
137.292757,1.775708823584819e-06,-57.50628247272399
137.7126,3.4860118214400473e-06,-54.57671144484352
138.132443,2.8266716977981724e-06,-55.487246294709536
138.552286,4.8472145587734965e-06,-53.145077560913464
138.972129,4.1956646502394204e-06,-53.77199231243668
139.391972,1.1554252304318664e-05,-49.372581532238094
139.811815,1.062259192372008e-05,-49.73769502009062
140.231658,6.811739174462396e-06,-51.667419897846536
140.651501,6.1770427560045875e-06,-52.09219392569932
141.071344,1.0116268667732462e-05,-49.94979645187236
141.491187,3.8573099062541154e-06,-54.13715467390311
141.91103,3.401837687973251e-06,-54.682864117402666
142.330873,3.293127498773627e-06,-54.823914545471524
142.750716,5.3176733977018006e-06,-52.742783398009216
143.170559,2.354476331235968e-06,-56.28105671016663
143.590402,4.020806369055489e-06,-53.956868408178885
144.010245,3.700261589215985e-06,-54.3176757249051
144.430088,3.0286890820715107e-06,-55.187453080046666
144.849931,2.0562933656223842e-06,-56.86914925677664
145.269774,4.7487476089178465e-06,-53.234209121124636
145.689617,4.049418369860051e-06,-53.92607351328586
146.10946,2.2270045856232846e-06,-56.522788887096354
146.529303,2.875400032807837e-06,-55.41301726642022
146.949146,1.9814145530025953e-06,-57.030246515455914
147.368989,2.4635831167253225e-06,-56.084327808515326
147.788832,3.6245586254104774e-06,-54.407448713603976
148.208675,2.241965986266627e-06,-56.493709805406745
148.628518,5.481836259033595e-06,-52.610739408614975
149.048361,2.689630391564383e-06,-55.703073965525306
149.468204,3.1927396697742107e-06,-54.958364916045454
149.888047,5.61856188415146e-06,-52.50374831352975
150.30789,3.884506688751371e-06,-54.10664126401387
150.727733,3.575545613177023e-06,-54.466576773001556
151.147576,7.023731436711862e-06,-51.534321027090044
151.567419,2.2891698361315284e-06,-56.403219853252146
151.987262,3.1376048214873657e-06,-55.03401756305132
152.407105,2.665887373714299e-06,-55.74158202261845
152.826948,2.7097256727243458e-06,-55.67074674015829
153.246791,1.8164635450857336e-06,-57.407733136432554
153.666634,2.6586855799844627e-06,-55.75333019927471
154.086477,2.7025998239395705e-06,-55.682182558629194
154.50632,2.961254734090008e-06,-55.28524231971999
154.926163,2.576363003335293e-06,-55.889929459556136
155.346006,3.5685170871239176e-06,-54.47512219370591
155.765849,5.673892686670706e-06,-52.46118882503417
156.185692,3.2733691652290417e-06,-54.850050129074354
156.605535,2.822768062513323e-06,-55.493248049238524
157.025378,2.488920015960386e-06,-56.03989059673121
157.445221,2.7977224183574675e-06,-55.53195377105037
157.865064,2.2301933827655104e-06,-56.51657477119271
158.284907,2.268997760499853e-06,-56.44165932763383
158.70475,3.7919766788652473e-06,-54.211343422915874
159.124593,4.621908144674063e-06,-53.351786898949
159.544436,1.5360425884520358e-06,-58.13596742850535
159.964279,3.222933421976201e-06,-54.91748665870539
160.384122,3.108993812705094e-06,-55.07380142257454
160.803965,4.235364182975014e-06,-53.73109240384903
161.223808,2.63951901988407e-06,-55.78475204206331
161.643651,2.568131419667633e-06,-55.90382755768259
162.063494,3.006754798790752e-06,-55.21901987221774
162.483337,2.393619339241037e-06,-56.20944914920355
162.90318,3.3117555529929444e-06,-54.79941726809922
163.323023,3.4424072190305786e-06,-54.63137756170836
163.742866,1.8048028335574598e-06,-57.43570235849787
164.162709,2.6991649325796003e-06,-55.687705770512245
164.582552,3.3326317730993837e-06,-54.7721266946144
165.002395,3.840949472529051e-06,-54.155614059163526
165.422238,2.6541057577611003e-06,-55.76081775858558
165.842081,4.054414998003212e-06,-53.9207180026104
166.261924,3.7249566083794175e-06,-54.28878781936128
166.681767,3.237328603742643e-06,-54.89813215472615
167.10161,2.648948690957361e-06,-55.76926453726135
167.521453,2.9518669245064164e-06,-55.29903225187495
167.941296,2.658043696441275e-06,-55.75437883826944
168.361139,4.058743866336948e-06,-53.91608354680825
168.780982,2.6606290325114087e-06,-55.75015674251445
169.200825,3.1138890237642554e-06,-55.066968693612296
169.620668,3.5250152644278952e-06,-54.52838998036426
170.040511,1.598667507039336e-06,-57.96241851996906
170.460354,1.6528273723885392e-06,-57.817725034364685
170.880197,2.4144945305354855e-06,-56.17173774053632
171.30004,3.5238720262741776e-06,-54.52979871909291
171.719883,4.269843992620874e-06,-53.69587992511656
172.139726,2.262497513045646e-06,-56.45411889502271
172.559569,2.92946317139286e-06,-55.332119574828496
172.979412,2.7549790960744765e-06,-55.59881692091306
173.399255,3.469227256502414e-06,-54.59767250168811
173.819098,3.7449208139412797e-06,-54.265573609903974
174.238941,2.7417897203349564e-06,-55.619658561840275
174.658784,5.669144921097209e-06,-52.46482440940169
175.078627,2.190183331464746e-06,-56.595195305886136
175.49847,3.5995738876812284e-06,-54.437489073387525
175.918313,4.3939190768825776e-06,-53.57147945773947
176.338156,3.3028389825760117e-06,-54.81112598177572
176.757999,4.826905608830058e-06,-53.16331193819606
177.177842,3.848341670711477e-06,-54.14726376572557
177.597685,2.8313826382374704e-06,-55.480014353167
178.017528,2.4607281908642565e-06,-56.08936355304557
178.437371,2.3688103628722345e-06,-56.25469705699649
178.857214,5.908745558376687e-06,-52.28504711149486
179.277057,1.7342223492776105e-06,-57.60895221234881
179.6969,3.558377834501179e-06,-54.48747939690296
180.116743,2.8604837149501782e-06,-55.43560520377742
180.536586,2.4175491759898396e-06,-56.166246830593074
180.956429,3.846627073353798e-06,-54.149199160678336
181.376272,2.8630073595182843e-06,-55.43177535599054
181.796115,1.7378255022546614e-06,-57.59993833878458
182.215958,2.8586499229993092e-06,-55.43839026110579
182.635801,2.111067892778615e-06,-56.754977993853906
183.055644,2.5036643132007573e-06,-56.01423900979797
183.475487,3.824858694217727e-06,-54.17384604812347
183.89533,4.893812005328391e-06,-53.10352717987228
184.315173,3.0397003391301944e-06,-55.17169228061245
184.735016,4.25906258756881e-06,-53.706859778562695
185.154859,2.96353347710576e-06,-55.281901624556085
185.574702,2.4485114387701775e-06,-56.11097862736977
185.994545,2.792544223258659e-06,-55.53999940588313
186.414388,2.7505249690603054e-06,-55.605844082034395
186.834231,3.448727542291368e-06,-54.623411145782
187.254074,2.4026472041517225e-06,-56.193099947135885
187.673917,2.0010219164114804e-06,-56.98748154679908
188.09376,2.2878043423367356e-06,-56.40581120035013
188.513603,4.513150310495342e-06,-53.45520202058931
188.933446,3.2933165259284637e-06,-54.82366526543517
189.353289,3.4151018957693227e-06,-54.66596333824277
189.773132,5.848640996901321e-06,-52.32945035817358
190.192975,2.884171889630574e-06,-55.39978860286343
190.612818,4.395131947509605e-06,-53.57028082316002
191.032661,3.3225098857453527e-06,-54.785337181901156
191.452504,3.148609598860178e-06,-55.018811848927186
191.872347,2.8183727987946946e-06,-55.500015613505056
192.29219,3.6731352851491553e-06,-54.34963075871485
192.712033,3.7447613128481713e-06,-54.265758585563646
193.131876,2.347422082308207e-06,-56.294088143058104
193.551719,3.5999599324375173e-06,-54.437023329044145
193.971562,1.8499924805703553e-06,-57.32830036815061
194.391405,3.6373187986574688e-06,-54.39218632838564
194.811248,3.8079514434892064e-06,-54.193085980919605
195.231091,3.3889277730175778e-06,-54.69937687023989
195.650934,3.488971586909331e-06,-54.573025672955794
196.070777,3.629516480961509e-06,-54.401512272054724
196.49062,6.050165324592619e-06,-52.18232757814093
196.910463,4.69941850558193e-06,-53.27955877264433
197.330306,2.49288724951707e-06,-56.03297363702368
197.750149,3.1430880535781637e-06,-55.02643452056731
198.169992,3.493465943242021e-06,-54.567434861964294
198.589835,3.777724414466377e-06,-54.227697271029015
199.009678,2.951319879510841e-06,-55.299837168376826
199.429521,3.32852553571593e-06,-54.777481068877705
199.849364,3.3723870765772168e-06,-54.72062583639887
200.269207,3.0633792175307624e-06,-55.13799238293994
200.68905,2.9602373150206595e-06,-55.28673471213827
201.108893,4.666508490524006e-06,-53.31007939653601
201.528736,3.6895062349098688e-06,-54.330317514026014
201.948579,3.7728821391486852e-06,-54.23326761487807
202.368422,2.401263930831963e-06,-56.19560102581723
202.788265,3.4311593852048374e-06,-54.64559107502784
203.208108,4.029437727086556e-06,-53.94755551640596
203.627951,3.2650057484643974e-06,-54.861160497566964
204.047794,2.638052036259017e-06,-55.78716642134133
204.467637,2.7243109090267205e-06,-55.64743330544299
204.88748,4.496755618313013e-06,-53.471007140558214
205.307323,3.2088017082056837e-06,-54.936571198296676
205.727166,2.97999678536994e-06,-55.25784204412621
206.147009,3.814356250889863e-06,-54.185787474278484
206.566852,4.9869361144499464e-06,-53.021661953107284
206.986695,5.583887253827559e-06,-52.530633592844076
207.406538,2.57379674128123e-06,-55.89425753323425
207.826381,2.6104870666197318e-06,-55.83278454113713
208.246224,3.327749519048366e-06,-54.778493706592776
208.666067,3.9024160856143055e-06,-54.08666426880916
209.08591,4.437806391423251e-06,-53.52831648694965
209.505753,2.064556432360651e-06,-56.85173241668971
209.925596,4.407840568465255e-06,-53.557741222978265
210.345439,3.803603765957286e-06,-54.19804731277519
210.765282,2.7665991160287255e-06,-55.58053766160741
211.185125,3.0634461946754247e-06,-55.13789743065263
211.604968,2.5878127821228583e-06,-55.870671463310146
212.024811,2.4463189611437e-06,-56.114869185042906
212.444654,3.625828042698084e-06,-54.40592796456229
212.864497,3.6296102262243066e-06,-54.40140010139844
213.28434,2.869205913831633e-06,-55.422382826944705
213.704183,4.265216515314708e-06,-53.70058917832982
214.124026,4.347010455847416e-06,-53.618093152010715
214.543869,4.261012277627175e-06,-53.704872144270865
214.963712,3.4755017474995124e-06,-54.589824887888696
215.383555,2.258237469772603e-06,-56.462303908480976
215.803398,3.160662203230376e-06,-55.00221917039969
216.223241,2.5623898857729738e-06,-55.91354788581534
216.643084,2.7377129170830315e-06,-55.6261209493961
217.062927,2.611562467031033e-06,-55.830995816353656
217.48277,3.0615298241942403e-06,-55.14061505485182
217.902613,2.6809175688219475e-06,-55.717165392271646
218.322456,1.6042651225329008e-06,-57.9472385816011
218.742299,2.9508020239676305e-06,-55.300599273291276
219.162142,2.6498051807943947e-06,-55.76786055125908
219.581985,3.226520877880482e-06,-54.91265520354175
220.001828,5.6414438615293664e-06,-52.48609729200432
220.421671,3.2331594348201145e-06,-54.90372878761369
220.841514,2.9500404820675223e-06,-55.301720243547486
221.261357,4.97458289500542e-06,-53.032433277808934
221.6812,3.5143553430213538e-06,-54.54154328295726
222.101043,4.703884438443878e-06,-53.27543356226694
222.520886,4.178163393980755e-06,-53.79014580220556
222.940729,3.643938701015465e-06,-54.384289374165604
223.360572,2.892207199484423e-06,-55.38770597141909
223.780415,2.6397239849505095e-06,-55.784414814936994
224.200258,5.3400115102981185e-06,-52.72457806856543
224.620101,2.280904014980716e-06,-56.418929903223514
225.039944,3.1349342844677325e-06,-55.03771558562824
225.459787,2.34056477932255e-06,-56.3067933449253
225.87963,3.3463406470147517e-06,-54.75429851302926
226.299473,3.3628457393089695e-06,-54.73293054214789
226.719316,4.8405400207051765e-06,-53.15106184857722
227.139159,4.239007229572343e-06,-53.72735842747491
227.559002,2.5465824126252798e-06,-55.94042264600997
227.978845,4.608851441982758e-06,-53.36407290349537
228.398688,5.059793261113836e-06,-52.95867227704018
228.818531,4.482203966266107e-06,-53.48508384434525
229.238374,2.293207293938471e-06,-56.395566855472
229.658217,2.574164327042643e-06,-55.893637324705246
