Signal key,Signal label,Y label,Color,window_start_s,window_end_s,sample_count,sample_spacing_s,baseline_window_s,envelope_smooth_window_s,envelope_slope_per_s,envelope_intercept,envelope_r2,envelope_p_value,envelope_fit_start,envelope_fit_end,envelope_fit_percent_change,envelope_normalization
wall_temperature,$T_{\mathrm{w}}$,Wall temperature (C),tab:purple,300.0,673.8934380000007,3739,0.10000000000002274,75.0,35.0,0.027389142181658267,-1.240132920087479,0.8964537933326552,0.0,6.976609734410001,17.21723026858105,146.78505641016883,6.919995240186195
heat_flux,$q''$,Heat flux (W/cm$^2$),tab:red,300.0,673.8934380000007,3739,0.10000000000002274,75.0,35.0,0.05817831567359239,-1.4812009001934925,0.8997736452002734,0.0,15.972293801884224,37.724784266133014,136.1888951835001,15.946736392264304
hydrophone_power,Hydrophone power,Band-integrated power (V$^2$),tab:blue,300.0,673.8934380000007,1168,0.32000000004040885,75.0,35.0,5.6704540987051486e-05,-0.002702013066161281,0.6058890583699258,5.280080974610839e-238,0.014309349229954166,0.0355108050098148,148.16505935489383,0.02078442172479736
