Time (s),Peak frequency (Hz),Spectral centroid (Hz),Spectral bandwidth (Hz)
15.95813,5859.375,19286.543678939033,34591.20600473289
16.377973,2197.265625,16571.53682486859,35656.21980409285
16.797816,3295.8984375,16484.78039936801,36767.39061068145
17.217659,3417.96875,13193.658946086496,32380.787669364494
17.637502,4516.6015625,15921.223078761193,35862.84847981697
18.057345,3906.25,17000.72718821329,33906.35157637012
18.477188,5249.0234375,20153.69498752205,38012.68470468658
18.897031,5981.4453125,15765.553991673667,35153.498585418994
19.316874,6225.5859375,17289.669182857993,38624.212420504715
19.736717,5004.8828125,16994.196962677393,37805.31730936486
20.15656,122.0703125,14964.088217262419,32415.150904792856
20.576403,3906.25,20122.361605891707,36479.18002499582
20.996246,122.0703125,17217.079989296744,37939.129282987364
21.416089,3540.0390625,14894.147416590486,34979.63941156132
21.835932,2441.40625,14050.391825850385,32882.90185442337
22.255775,3051.7578125,15376.617628585585,35734.354009800416
22.675618,4760.7421875,20351.059790208106,36726.026867553315
23.095461,3051.7578125,19291.738517959613,38575.85234363344
23.515304,3540.0390625,16965.65216093828,38286.164091259765
23.935147,4028.3203125,17462.53081468866,36992.06125191947
24.35499,2563.4765625,14742.236423303308,35026.83635902333
24.774833,3784.1796875,17180.267341887327,35061.50593295649
25.194676,5981.4453125,16898.14658802238,34585.22961946084
25.614519,2319.3359375,15937.286846140183,34949.643282623074
26.034362,3662.109375,16827.83845976427,37563.37045457868
26.454205,5004.8828125,16482.548670530156,36271.67791380747
26.874048,5981.4453125,16907.891001289077,35237.296750314235
27.293891,4882.8125,16395.978484172345,32360.944955797426
27.713734,5004.8828125,16572.099504414142,36075.98507936042
28.133577,4516.6015625,14033.009800071755,33229.61878538599
28.55342,3784.1796875,14562.65942818485,34281.626658466856
28.973263,2319.3359375,17106.652411836694,38048.00247967435
29.393106,3784.1796875,18340.47413391057,35460.35663698648
29.812949,4882.8125,15107.926565850988,33070.35769385911
30.232792,3784.1796875,13596.116412503894,31546.600820228137
30.652635,4272.4609375,12212.482061952413,29999.848914552505
31.072478,8544.921875,11840.510318787356,25260.926623348238
31.492321,8544.921875,9482.503108704972,6296.760723437443
31.912164,8666.9921875,8513.4336555432,5478.529727399533
32.332007,5004.8828125,6193.86720796398,3160.7368159487683
32.75185,6347.65625,7702.651283126241,3386.089141400754
33.171693,7934.5703125,8602.69250689038,3601.640081786039
33.591536,4638.671875,6997.099426087636,5184.526603476965
34.011379,5859.375,6538.623128709888,4352.68490383386
34.431222,6469.7265625,6669.652979652304,4016.1805551447655
34.851065,5249.0234375,5656.877474962934,3322.769323534749
35.270908,5371.09375,6940.512852418243,4009.2790316493547
35.690751,5249.0234375,6499.497293766816,4596.016389687388
36.110594,5126.953125,6820.316790094821,4811.991250890873
36.530437,5981.4453125,6460.731169412817,4266.150029257432
36.95028,5859.375,7186.718702241762,4315.021173997341
37.370123,5249.0234375,7070.617696089164,5003.067775759023
37.789966,5981.4453125,6651.145694948487,3938.9368163713207
38.209809,6103.515625,6820.02773566424,4144.795915093492
38.629652,6591.796875,7105.302569697948,3279.0783635121998
39.049495,6103.515625,7351.810455012667,4831.59757379009
39.469338,8422.8515625,7184.204326568961,4636.0061682192645
39.889181,8666.9921875,7379.473141267894,4510.510341053987
40.309024,6103.515625,7161.423511452533,3972.608998984063
40.728867,8666.9921875,8113.189334899138,4893.072449542808
41.14871,6713.8671875,7134.540541925892,4500.870003519263
41.568553,6225.5859375,6984.265310330361,3987.597709288867
41.988396,8789.0625,8074.157226055576,3641.788217413146
42.408239,6713.8671875,7337.846939760853,4058.215942677502
42.828082,6347.65625,7433.320375713974,4654.957293074085
43.247925,6713.8671875,7295.623619902256,3775.0979357826845
43.667768,5859.375,7634.0480582341615,3727.5050223291178
44.087611,8666.9921875,7859.549108447336,3851.343164133904
44.507454,5126.953125,7712.135902928533,4505.1934666133675
44.927297,8544.921875,8299.633132735577,3661.525313876478
45.34714,8666.9921875,7831.7373659252,4156.132120423612
45.766983,8422.8515625,7682.315900369052,4160.490911557385
46.186826,6103.515625,7526.827754996417,3989.9030981007604
46.606669,8422.8515625,8020.082027234726,4279.727556175388
47.026512,8666.9921875,8445.99683444562,3680.0567004999207
47.446355,8544.921875,8095.269267401891,3862.78961114189
47.866198,6103.515625,7477.20302511879,3365.9427149069525
48.286041,8544.921875,8253.368849752054,3845.2175310825282
48.705884,8666.9921875,8274.19775966144,4132.409407035084
49.125727,5981.4453125,7930.925889031721,4164.3167631854385
49.54557,8422.8515625,8207.344981345497,3710.20587644071
49.965413,8666.9921875,8484.343666428364,3433.86149025578
50.385256,8544.921875,8924.813664689997,4540.9562858306
50.805099,6469.7265625,7828.294284487731,4146.054605096684
51.224942,9033.203125,8888.480291503214,5029.640449822792
51.644785,8789.0625,8669.971222458847,4902.153060047984
52.064628,8789.0625,8836.651009454,4402.845034227402
52.484471,8422.8515625,8911.259388994675,4975.615918385843
52.904314,8666.9921875,8539.902995884162,3792.03717859746
53.324157,6713.8671875,9064.076988103276,5427.394659135509
53.744,8666.9921875,8500.648356875603,3400.631469126808
54.163843,6469.7265625,8698.063685964838,4803.641193626669
54.583686,5371.09375,9084.537773102807,5016.634187265565
55.003529,5371.09375,8553.451310567487,4980.901246753047
55.423372,8422.8515625,8888.11954539948,4633.7401769760345
55.843215,8666.9921875,9057.76275620834,4450.926383025397
56.263058,6225.5859375,7911.458993907326,4639.805297008973
56.682901,8666.9921875,8399.476955085163,4998.869033131785
57.102744,8544.921875,8547.152030833942,4533.210060658921
57.522587,5859.375,8685.052975919174,4861.819456116929
57.94243,4882.8125,8213.615464692484,4368.398015693321
58.362273,8544.921875,9028.769068832982,4943.509824184982
58.782116,8544.921875,8894.19394979193,3680.224985614489
59.201959,8666.9921875,9076.991534838953,3994.473361426346
59.621802,6103.515625,9607.914706743903,5168.230520023964
60.041645,8422.8515625,9474.845966622728,5109.006624400006
60.461488,8666.9921875,8741.57043588878,4381.716448553369
60.881331,5981.4453125,9790.680127536185,5759.969730055071
61.301174,8422.8515625,9135.802481571394,4908.9264011911555
61.721017,8911.1328125,10017.998311664714,5289.037003772907
62.14086,8544.921875,8921.170434880316,4697.7150168345925
62.560703,5126.953125,8353.592381534543,4908.272587273698
62.980546,8422.8515625,8749.706758011285,4526.727128100712
63.400389,8666.9921875,10321.775028181519,5667.651505202825
63.820232,8666.9921875,9166.83236409658,4687.815322394679
64.240075,8544.921875,9513.593822478959,5232.193963876306
64.659918,8789.0625,9408.041296395737,4424.876690153995
65.079761,8666.9921875,8797.221407502093,5085.5375749400155
65.499604,8422.8515625,8898.381764023217,3761.4807160424116
65.919447,8544.921875,9090.491288192285,4212.647407369974
66.33929,8666.9921875,9192.219691198557,5404.9757668529855
66.759133,8911.1328125,10106.624451541802,5471.811239189139
67.178976,8666.9921875,9191.180477907716,5601.655261796504
67.598819,8422.8515625,8860.929602099273,4646.73782424709
68.018662,8300.78125,10443.327375963445,6171.444121629474
68.438505,8666.9921875,8724.45032348725,3749.991102940961
68.858348,8789.0625,8948.064822586897,4824.240079610923
69.278191,8544.921875,9317.185506180344,4975.969034589788
69.698034,8544.921875,9155.771035631813,5345.365498493324
70.117877,8422.8515625,8846.978755531716,5102.9426140523565
70.53772,8911.1328125,9424.39428452969,4768.67007636486
70.957563,8544.921875,10063.187053240985,5247.433655406051
71.377406,8544.921875,9083.812996241817,4550.860820629851
71.797249,8422.8515625,9358.99882508256,4449.352791103541
72.217092,8666.9921875,8962.36255568192,4683.893221354895
72.636935,6225.5859375,9068.543702159983,4355.502288232917
73.056778,8666.9921875,9701.228332133041,5194.758874845439
73.476621,8789.0625,9192.934312038202,5230.083781466883
73.896464,8789.0625,8932.144489533948,4349.474193142484
74.316307,8544.921875,9083.986427335489,4769.501377354073
74.73615,8544.921875,10420.81314256776,5416.485245577967
75.155993,8911.1328125,9431.67564407963,4987.141468793953
75.575836,8544.921875,9591.704013607794,5677.373871049417
75.995679,9033.203125,9268.885122634852,5334.801857458636
76.415522,8666.9921875,9008.524768235191,4057.706377429498
76.835365,8544.921875,8974.901378291044,3524.1244984893083
77.255208,8544.921875,9695.616602620377,4389.301917832327
77.675051,6591.796875,9670.355215266742,5752.834377745325
78.094894,9033.203125,9411.34237188645,5512.958790723723
78.514737,8422.8515625,9379.629233331832,5837.780866903574
78.93458,8544.921875,9260.139169858996,4814.83895411696
79.354423,8666.9921875,9447.0206773943,5033.24367283573
79.774266,9033.203125,10809.79034395453,5448.111663216185
80.194109,8666.9921875,8860.88945214016,4071.6293797204307
80.613952,8666.9921875,8913.074760757265,4051.990029314701
81.033795,8789.0625,9325.509449846622,5020.312415205275
81.453638,8422.8515625,9003.803090722124,4235.885042641871
81.873481,8422.8515625,9513.93624109551,4608.39985107701
82.293324,8666.9921875,9224.364389907154,5140.832580069197
82.713167,8789.0625,9608.545115043298,5909.142966283655
83.13301,8422.8515625,9115.781847338176,4749.495086476934
83.552853,9033.203125,9401.560267428345,5077.669562661001
83.972696,8666.9921875,9221.324900048841,4041.1552039572575
84.392539,8666.9921875,9501.285942821147,5114.903954144939
84.812382,8666.9921875,9183.363498156808,4818.578772988229
85.232225,9033.203125,9834.443989834284,5586.010726354771
85.652068,8911.1328125,9003.025739454812,5010.735644588643
86.071911,6835.9375,10262.058397355804,5846.126750401633
86.491754,8666.9921875,9701.420673298238,4800.5888441400075
86.911597,9033.203125,10776.863240289746,6014.004750394749
87.33144,8789.0625,10078.031417162258,5043.192953820954
87.751283,8911.1328125,9471.928042371332,5141.509120722265
88.171126,8422.8515625,9091.646977222732,4370.73339036647
88.590969,8666.9921875,9171.777773970669,5014.910482794653
89.010812,8544.921875,9708.3649558249,4947.721296201272
89.430655,8422.8515625,9158.408032782763,5084.187794918152
89.850498,8789.0625,9151.48436038256,4345.796565546329
90.270341,8911.1328125,9600.7184065422,5912.581714996192
90.690184,8666.9921875,9058.475100379972,5177.3451814419295
91.110027,8789.0625,9247.148233521213,5105.140820627297
91.52987,8911.1328125,8750.419952480517,4877.626674070506
91.949713,8789.0625,9903.609022865532,5024.580146624585
92.369556,8544.921875,10420.551326290362,5308.318078440092
92.789399,8544.921875,9508.985887319554,5554.872661631979
93.209242,8666.9921875,9230.225689695268,4190.319256863077
93.629085,8666.9921875,9557.425999617273,4686.658251787484
94.048928,8544.921875,9747.000618521824,4699.4281446204195
94.468771,8666.9921875,9335.402291398788,4561.41683189964
94.888614,8666.9921875,9590.856553841168,5066.663595224859
95.308457,8666.9921875,10404.082851430712,6250.621373821669
95.7283,8422.8515625,10053.78074611181,5723.4286684939225
96.148143,8544.921875,10646.279813664292,6049.027269477029
96.567986,8666.9921875,9233.876098138695,5211.074810118221
96.987829,8666.9921875,9850.294242318825,5725.945691265654
97.407672,8789.0625,9983.083317088947,5379.376785851299
97.827515,8666.9921875,10162.58549177633,5995.064216140729
98.247358,8422.8515625,9500.947405012259,5699.677094172053
98.667201,8911.1328125,9900.602574036071,5961.169840589245
99.087044,8789.0625,10042.812939158135,5306.934554793937
99.506887,8666.9921875,9194.1292188374,4050.2338778645258
99.92673,8422.8515625,10484.833773472295,6116.077864165549
100.346573,8544.921875,9647.748224825884,6438.928400204411
100.766416,8544.921875,9475.00972081499,5280.754431639079
101.186259,8666.9921875,10020.88254632092,5236.356767479859
101.606102,9033.203125,9573.536485689041,5127.8465887375
102.025945,8544.921875,9974.425574330535,5534.17140444117
102.445788,8422.8515625,9329.411250956035,5810.581448298568
102.865631,8544.921875,10765.266237307427,6223.777990760342
103.285474,8666.9921875,9740.692842519835,4424.712105845609
103.705317,9033.203125,9287.989475648015,5378.527146009389
104.12516,8544.921875,9732.344241423149,6429.0594321146555
104.545003,8666.9921875,9592.830082788252,5725.972988556873
104.964846,8544.921875,9404.501785660417,5914.418170659083
105.384689,8666.9921875,9394.09156148662,5664.1180624654025
105.804532,8544.921875,9636.352892281013,5339.979434369606
106.224375,8422.8515625,10041.100117006175,4834.953295239983
106.644218,5981.4453125,9563.826655319273,5669.126895479649
107.064061,8789.0625,8666.30807488767,4916.800244347285
107.483904,9033.203125,9907.206466615822,6184.561430886204
107.903747,8422.8515625,9255.791949687475,4711.324823312835
108.32359,6225.5859375,9123.627561070034,5621.707820014867
108.743433,8789.0625,9775.242813219355,5080.0997997464665
109.163276,5981.4453125,9146.926080078809,5479.980317056228
109.583119,9155.2734375,9194.045785999382,4997.788678993653
110.002962,8789.0625,9540.863863830918,5270.356212944345
110.422805,8789.0625,9396.472513868715,5580.960176354844
110.842648,8666.9921875,9376.573836235293,4695.490748907235
111.262491,6835.9375,9531.35128569149,5607.70308335223
111.682334,8544.921875,9933.221498083696,5168.175939119666
112.102177,8544.921875,9085.661996371682,4736.209083873527
112.52202,8911.1328125,9685.058385145583,4922.626457978748
112.941863,8666.9921875,9998.715038009865,5773.625277953283
113.361706,8666.9921875,9886.085889776068,6328.7127300630655
113.781549,6713.8671875,9057.441725485387,5856.226941464099
114.201392,8544.921875,9558.592687752673,5007.51526941985
114.621235,6835.9375,8876.731568188767,5626.798679327532
115.041078,8544.921875,9664.532928101677,6162.6012729281765
115.460921,8789.0625,9845.154253595087,5567.977975128655
115.880764,8789.0625,10083.672514924121,5804.058246723094
116.300607,8911.1328125,9608.323269620405,5444.695910250057
116.72045,8422.8515625,10434.835764834046,6146.353787512435
117.140293,8544.921875,10202.945192428979,5953.495904267444
117.560136,8422.8515625,9557.257146276657,5308.254506826559
117.979979,9155.2734375,9691.500334442026,6585.372959911237
118.399822,8544.921875,9762.505687722887,5649.062989797499
118.819665,8911.1328125,9981.235070407758,5643.1873166615915
119.239508,8789.0625,9921.362468483749,5404.146183610393
119.659351,8544.921875,9395.50878511446,5124.799170903696
120.079194,8422.8515625,8928.594256136954,4520.879349365215
120.499037,8789.0625,9266.379041236056,5246.655474519469
120.91888,8544.921875,8940.415193247629,3604.3289262605313
121.338723,8789.0625,9592.320611548992,5205.016770458354
121.758566,8422.8515625,9108.281019505142,5105.84250263605
122.178409,8544.921875,9005.260693108896,4950.940879919069
122.598252,9033.203125,8956.419298382234,4989.923507244091
123.018095,8789.0625,10452.302772982177,6662.338821766158
123.437938,8544.921875,8902.486745503562,3993.5676910011625
123.857781,8666.9921875,9737.935107870902,5016.452529256476
124.277624,8544.921875,10140.09378594763,6555.862423484334
124.697467,8544.921875,10859.5174826887,7211.048513265653
125.11731,8666.9921875,10135.759987470923,6702.1310474269585
125.537153,6225.5859375,9018.583001584606,5178.537431171061
125.956996,8911.1328125,9780.437102632935,5883.628265962997
126.376839,9033.203125,9499.980198326242,5301.103362161135
126.796682,9155.2734375,9329.782178568626,5405.0593654964505
127.216525,6713.8671875,10266.916715422767,5632.430299969311
127.636368,8666.9921875,9095.007921922175,5175.167654993842
128.056211,8422.8515625,10450.643962144584,5751.097443312088
128.476054,8544.921875,9341.002629779852,5941.843443020322
128.895897,8666.9921875,9069.812879123921,5193.978117541755
129.31574,8544.921875,9358.246256120166,5702.828948182147
129.735583,8544.921875,9728.549176294333,5960.452112740674
130.155426,6835.9375,9012.750084773998,6359.1366411910485
130.575269,8789.0625,9165.29144495797,4442.179276001981
130.995112,8911.1328125,10036.92813840147,5743.8490207668365
131.414955,8544.921875,9588.749271958022,5618.939985600116
131.834798,6103.515625,9770.165233034322,7000.93237730574
132.254641,8422.8515625,9561.760789729393,6604.1685829412145
132.674484,8544.921875,9851.666389440106,5292.98917957947
133.094327,8422.8515625,8759.399776968092,5153.468121264821
133.51417,8666.9921875,9203.886558778035,5871.744839591205
133.934013,8789.0625,9707.718806249988,5516.72024914292
134.353856,8789.0625,9166.181675139716,4924.024490806808
134.773699,8544.921875,8835.85359760856,5108.159776287326
135.193542,8422.8515625,9290.031241262888,5555.783074734289
135.613385,15625.0,11403.010945262673,7243.914710742304
136.033228,8544.921875,9265.871301156058,5305.414292859245
136.453071,8544.921875,9008.706550310422,5520.257139952717
136.872914,8544.921875,9691.454594491333,5879.453884257807
137.292757,8544.921875,8588.384280137354,5366.75141428122
137.7126,1098.6328125,6610.781596919188,4900.4233837945485
138.132443,1098.6328125,6526.0347625270615,4973.275449851877
138.552286,8544.921875,7257.278059397958,3487.6423515969186
138.972129,5737.3046875,6053.265958504919,3848.277433805063
139.391972,9033.203125,7333.79904362582,3394.4926141946103
139.811815,8544.921875,6875.343510617147,3353.2189055835433
140.231658,6591.796875,6561.336494402772,2778.786284474195
140.651501,6591.796875,7045.59802321216,2850.3578775373694
141.071344,5859.375,7147.51883448056,2683.290974019422
141.491187,8666.9921875,7423.164897148034,3723.780189528988
141.91103,8544.921875,7770.738907232451,4217.950061911731
142.330873,8666.9921875,8479.486636426622,4135.582691022928
142.750716,8544.921875,8090.602261293964,3490.4065569687964
143.170559,8666.9921875,8249.544087519798,5577.093200847084
143.590402,6103.515625,7972.119397594755,4228.569974247932
144.010245,8666.9921875,8361.029809317388,4564.946890999873
144.430088,8666.9921875,8647.32323968008,4720.808212251609
144.849931,8422.8515625,8940.760302489023,5627.968864373822
145.269774,5859.375,8000.604866789658,4285.166812852743
145.689617,8544.921875,8302.724943416588,4906.004324575247
146.10946,5981.4453125,9124.16952161802,5590.873144344311
146.529303,8300.78125,9739.743818048208,5520.112311555559
146.949146,8544.921875,9236.241798029958,5422.514115226957
147.368989,8666.9921875,8688.82455205493,5201.436342892759
147.788832,8789.0625,9286.419307574375,4584.670097841469
148.208675,8544.921875,8791.756439715684,5296.444549979223
148.628518,8544.921875,8671.430143792353,4102.863058786224
149.048361,8789.0625,9244.699940223027,5000.24965583051
