Signal key,Signal label,Time (s),Signal,Baseline,Detrended signal,Envelope,Envelope fit,Normalized envelope
wall_temperature,$T_{\mathrm{w}}$,300.0,140.0892274969999,143.7274355321924,-3.6382080351924913,3.594639124908731,6.976609734410001,0.51945687824086
wall_temperature,$T_{\mathrm{w}}$,300.1,140.0892274969999,143.73465518864668,-3.6454276916467734,3.617737998040906,6.979348648628168,0.5227948679836901
wall_temperature,$T_{\mathrm{w}}$,300.20000000000005,140.0892274969999,143.74185876745616,-3.6526312704562542,3.640773907430243,6.982087562846333,0.5261237589134934
wall_temperature,$T_{\mathrm{w}}$,300.30000000000007,140.08922749699923,143.74904626862093,-3.659818771621701,3.6637468530767423,6.9848264770645,0.5294435510302696
wall_temperature,$T_{\mathrm{w}}$,300.4000000000001,138.8738851,143.7562176921409,-4.882332592140898,3.686656834980404,6.987565391282667,0.532754244334019
wall_temperature,$T_{\mathrm{w}}$,300.5000000000001,138.8738851,143.76337303801614,-4.889487938016146,3.709503853141228,6.990304305500834,0.5360558388247414
wall_temperature,$T_{\mathrm{w}}$,300.60000000000014,138.8738851,143.7705123062466,-4.896627206246592,3.7322879075592144,6.993043219718999,0.5393483345024368
wall_temperature,$T_{\mathrm{w}}$,300.70000000000016,138.87388509999923,143.7776354968323,-4.903750396833061,3.755008998234363,6.9957821339371655,0.5426317313671054
wall_temperature,$T_{\mathrm{w}}$,300.8000000000002,138.43129969499992,143.78474260977322,-5.3534429147732965,3.7776671251666736,6.998521048155332,0.545906029418747
wall_temperature,$T_{\mathrm{w}}$,300.9000000000002,138.43129969499992,143.7918336450694,-5.360533950069481,3.8002622883561465,7.001259962373499,0.5491712286573616
wall_temperature,$T_{\mathrm{w}}$,301.0000000000002,138.43129969499992,143.79890860272081,-5.367608907720893,3.8227944878027817,7.003998876591666,0.5524273290829493
wall_temperature,$T_{\mathrm{w}}$,301.10000000000025,138.4312996950019,143.80596748272748,-5.374667787725571,3.845263723506579,7.006737790809831,0.5556743306955101
wall_temperature,$T_{\mathrm{w}}$,301.2000000000003,139.30230886100009,143.81301028508938,-4.510701424089291,3.867669995467539,7.009476705027998,0.5589122334950439
wall_temperature,$T_{\mathrm{w}}$,301.3000000000003,139.30230886100009,143.8200370098065,-4.5177281488064125,3.890013303685661,7.012215619246165,0.5621410374815508
wall_temperature,$T_{\mathrm{w}}$,301.4000000000003,139.30230886100009,143.82704765687888,-4.52473879587879,3.912293648160945,7.014954533464332,0.5653607426550308
wall_temperature,$T_{\mathrm{w}}$,301.50000000000034,139.30230886100495,143.8340422263065,-4.531733365301562,3.9345110288933913,7.017693447682497,0.5685713490154838
wall_temperature,$T_{\mathrm{w}}$,301.60000000000036,140.7271254029999,143.84102071808934,-3.113895315089451,3.956665445883,7.020432361900664,0.5717728565629099
wall_temperature,$T_{\mathrm{w}}$,301.7000000000004,140.7271254029999,143.84798313222743,-3.120857729227538,3.9787568991297713,7.0231712761188305,0.5749652652973091
wall_temperature,$T_{\mathrm{w}}$,301.8000000000004,140.7271254029999,143.85492946872077,-3.1278040657208805,4.000785388633704,7.025910190336997,0.5781485752186812
wall_temperature,$T_{\mathrm{w}}$,301.90000000000043,140.72712540300518,143.86185972756934,-3.134734324564164,4.022750914394799,7.028649104555164,0.5813227863270265
wall_temperature,$T_{\mathrm{w}}$,302.00000000000045,141.89048482100003,143.86877390877314,-1.9782890877731063,4.044653476413057,7.031388018773329,0.5844878986223447
wall_temperature,$T_{\mathrm{w}}$,302.1000000000005,141.89048482100003,143.87567201233216,-1.9851871913321304,4.066493074688477,7.034126932991496,0.5876439121046362
wall_temperature,$T_{\mathrm{w}}$,302.2000000000005,141.89048482100003,143.88255403824647,-1.9920692172464385,4.088269709221059,7.036865847209663,0.5907908267739006
wall_temperature,$T_{\mathrm{w}}$,302.3000000000005,141.89048482100566,143.88941998651597,-1.9989351655103178,4.109983380010804,7.03960476142783,0.5939286426301382
wall_temperature,$T_{\mathrm{w}}$,302.40000000000055,142.99037221600005,143.89626985714074,-0.9058976411406832,4.13163408705771,7.042343675645995,0.5970573596733488
wall_temperature,$T_{\mathrm{w}}$,302.50000000000057,142.99037221600005,143.90310365012073,-0.9127314341206727,4.15322183036178,7.045082589864162,0.6001769779035325
wall_temperature,$T_{\mathrm{w}}$,302.6000000000006,142.99037221600005,143.90992136545597,-0.9195491494559178,4.174746609923011,7.047821504082329,0.6032874973206892
wall_temperature,$T_{\mathrm{w}}$,302.7000000000006,142.9903722160028,143.91672300314644,-0.9263507871436332,4.196208425741403,7.0505604183004955,0.6063889179248189
wall_temperature,$T_{\mathrm{w}}$,302.80000000000064,143.43326635599988,143.92350856319217,-0.4902422071922956,4.21760727781696,7.053299332518661,0.6094812397159218
wall_temperature,$T_{\mathrm{w}}$,302.90000000000066,143.43326635599988,143.93027804559313,-0.4970116895932506,4.238943166149677,7.0560382467368274,0.6125644626939976
wall_temperature,$T_{\mathrm{w}}$,303.0000000000007,143.43326635599988,143.9370314503493,-0.5037650943494327,4.260216090739558,7.058777160954994,0.6156385868590466
wall_temperature,$T_{\mathrm{w}}$,303.1000000000007,143.43326635600292,143.94376877746075,-0.5105024214578293,4.2814260515866,7.061516075173161,0.6187036122110685
wall_temperature,$T_{\mathrm{w}}$,303.2000000000007,143.8793635319999,143.9504900269274,-0.07112649492751189,4.302573048690805,7.064254989391328,0.6217595387500637
wall_temperature,$T_{\mathrm{w}}$,303.30000000000075,143.8793635319999,143.95719519874933,-0.07783166674943232,4.323657082052171,7.066993903609493,0.6248063664760318
wall_temperature,$T_{\mathrm{w}}$,303.4000000000008,143.8793635319999,143.96388429292648,-0.0845207609265799,4.3446781516707,7.06973281782766,0.627844095388973
wall_temperature,$T_{\mathrm{w}}$,303.5000000000008,143.87936353200897,143.97055730945885,-0.0911937774498881,4.365636257546392,7.072471732045827,0.6308727254888873
wall_temperature,$T_{\mathrm{w}}$,303.6000000000008,145.01920275400008,143.97721424834648,1.0419885056535918,4.386531399679246,7.075210646263994,0.6338922567757747
wall_temperature,$T_{\mathrm{w}}$,303.70000000000084,145.01920275400008,143.98385510958934,1.0353476444107343,4.407363578069261,7.077949560482159,0.636902689249635
wall_temperature,$T_{\mathrm{w}}$,303.80000000000086,145.01920275400008,143.99047989318746,1.0287228608126213,4.428132792716439,7.080688474700326,0.6399040229104684
wall_temperature,$T_{\mathrm{w}}$,303.9000000000009,145.0192027540148,143.9970885991408,1.0221141548740036,4.448839043620779,7.083427388918492,0.642896257758275
wall_temperature,$T_{\mathrm{w}}$,304.0000000000009,146.63889005200014,144.00368122744936,2.635208824550773,4.469482330782283,7.086166303136659,0.6458793937930546
wall_temperature,$T_{\mathrm{w}}$,304.10000000000093,146.63889005200014,144.01025777811319,2.62863227388695,4.490062654200947,7.088905217354826,0.6488534310148071
wall_temperature,$T_{\mathrm{w}}$,304.20000000000095,146.63889005200014,144.01681825113224,2.6220718008679,4.510580013876774,7.091644131572991,0.6518183694235329
wall_temperature,$T_{\mathrm{w}}$,304.300000000001,146.63889005199871,144.02336264650654,2.6155274054921733,4.531034409809763,7.094383045791158,0.6547742090192316
wall_temperature,$T_{\mathrm{w}}$,304.400000000001,146.49258979699994,144.02989096423607,2.462698832763863,4.551425841999915,7.097121960009325,0.6577209498019035
wall_temperature,$T_{\mathrm{w}}$,304.500000000001,146.49258979699994,144.03640320432083,2.456186592679103,4.571754310447229,7.099860874227492,0.6606585917715484
wall_temperature,$T_{\mathrm{w}}$,304.60000000000105,146.49258979699994,144.04289936676085,2.4496904302390874,4.592019815151705,7.102599788445657,0.6635871349281663
wall_temperature,$T_{\mathrm{w}}$,304.70000000000107,146.49258979698317,144.04937945155612,2.4432103454270475,4.612222356113343,7.105338702663824,0.6665065792717574
wall_temperature,$T_{\mathrm{w}}$,304.8000000000011,144.94087168999994,144.0558434587066,0.8850282312933473,4.6323619333321435,7.108077616881991,0.6694169248023214
wall_temperature,$T_{\mathrm{w}}$,304.9000000000011,144.94087168999994,144.06229138821234,0.8785803017875935,4.652438546808106,7.110816531100157,0.6723181715198585
wall_temperature,$T_{\mathrm{w}}$,305.00000000000114,144.94087168999994,144.0687232400733,0.872148449926641,4.672452196541231,7.1135554453183225,0.6752103194243686
wall_temperature,$T_{\mathrm{w}}$,305.10000000000116,144.94087169000258,144.0751390142895,0.8657326757130761,4.692402882531519,7.116294359536489,0.678093368515852
wall_temperature,$T_{\mathrm{w}}$,305.2000000000012,145.17448249700007,144.08153871086094,1.0929437861391307,4.7122906047789686,7.119033273754656,0.6809673187943083
wall_temperature,$T_{\mathrm{w}}$,305.3000000000012,145.17448249700007,144.08792232978763,1.0865601672124399,4.73211536328358,7.121772187972823,0.6838321702597377
wall_temperature,$T_{\mathrm{w}}$,305.4000000000012,145.17448249700007,144.09428987106955,1.080192625930522,4.751877158045354,7.12451110219099,0.6866879229121401
wall_temperature,$T_{\mathrm{w}}$,305.50000000000125,145.17448249701573,144.10064133470672,1.0738411623090087,4.77157598906429,7.127250016409155,0.6895345767515156
wall_temperature,$T_{\mathrm{w}}$,305.6000000000013,146.42659435299998,144.10697672069912,2.3196176323008615,4.791211856340389,7.129988930627322,0.6923721317778643
wall_temperature,$T_{\mathrm{w}}$,305.7000000000013,146.42659435299998,144.11329602904675,2.3132983239532336,4.81078475987365,7.132727844845489,0.6952005879911859
wall_temperature,$T_{\mathrm{w}}$,305.8000000000013,146.42659435299998,144.11959925974963,2.3069950932503502,4.830294699664073,7.135466759063656,0.6980199453914805
wall_temperature,$T_{\mathrm{w}}$,305.90000000000134,146.42659435300834,144.12588641280774,2.3007079402005957,4.849741675711658,7.138205673281821,0.7008302039787483
wall_temperature,$T_{\mathrm{w}}$,306.00000000000136,147.039332812,144.1321574882211,2.907175323778887,4.869125688016406,7.1409445874999875,0.7036313637529892
wall_temperature,$T_{\mathrm{w}}$,306.1000000000014,147.039332812,144.1384124859897,2.9009203260102936,4.888446736578316,7.143683501718154,0.706423424714203
wall_temperature,$T_{\mathrm{w}}$,306.2000000000014,147.039332812,144.14465140611352,2.894681405886473,4.907704821397387,7.146422415936321,0.7092063868623899
wall_temperature,$T_{\mathrm{w}}$,306.30000000000143,147.03933281200906,144.1508742485926,2.8884585634164637,4.9268999424736215,7.149161330154486,0.71198025019755
