Frequency (Hz),PSD of band-integrated power (dB^2/Hz),Period (s)
0.005003871295065969,2.3749955292507923,199.84526800000685
0.010007742590131938,0.33438686494763203,99.92263400000343
0.015011613885197908,0.22808962624485138,66.61508933333562
0.020015485180263876,1.6142227733395649,49.96131700000171
0.025019356475329844,2.581484790583516,39.969053600001374
0.030023227770395816,3.8053315460128516,33.30754466666781
0.03502709906546178,3.86005145728099,28.549324000000983
0.04003097036052775,1.5077695825376691,24.980658500000857
0.045034841655593724,2.763247396273931,22.205029777778538
0.05003871295065969,12.623216473536337,19.984526800000687
0.05504258424572566,18.479739973677837,18.167751636364258
0.06004645554079163,11.05009079979618,16.653772333333904
0.0650503268358576,13.512715297428258,15.37271292307745
0.07005419813092356,77.35442628509978,14.274662000000491
0.07505806942598954,234.0283179304225,13.323017866667124
0.0800619407210555,279.74516583958746,12.490329250000428
0.08506581201612147,127.53084083950337,11.755604000000405
0.09006968331118745,58.795515518109994,11.102514888889269
0.09507355460625341,8.487154115432098,10.51817200000036
0.10007742590131938,7.452596982356177,9.992263400000343
0.10508129719638536,7.934680457853709,9.51644133333366
0.11008516849145132,8.86091544378415,9.083875818182129
0.11508903978651729,2.258175914722341,8.688924695652473
0.12009291108158326,5.497583534869584,8.326886166666952
0.12509678237664923,5.395892578802489,7.993810720000274
0.1301006536717152,1.7274287797637617,7.686356461538725
0.13510452496678116,3.0828563555396222,7.401676592592847
0.14010839626184712,4.028259714627622,7.137331000000246
0.14511226755691312,17.92756213515107,6.891216137931271
0.15011613885197908,58.05171239719825,6.661508933333562
0.15512001014704505,19.44328462731481,6.446621548387318
0.160123881442111,8.629981422361377,6.245164625000214
0.16512775273717697,20.10717423774962,6.05591721212142
0.17013162403224294,38.1145472863427,5.8778020000002025
0.1751354953273089,16.989223749681944,5.709864800000196
0.1801393666223749,4.588685243737362,5.5512574444446345
0.18514323791744086,1.9964727136150116,5.401223459459644
0.19014710921250683,2.6102640926708673,5.25908600000018
0.1951509805075728,2.0789251502496082,5.124237641025817
