DeltaTmax_K,H_median,H_lower_95,H_upper_95,n_successful_bootstrap,seed
0.0,1.0,1.0,1.0,2000,20260802
0.7885304659498208,0.9999660292259658,0.9998415782850565,0.9999936259735445,2000,20260802
1.5770609318996416,0.9998704661495301,0.9995160852262505,0.9999693109455104,2000,20260802
2.3655913978494625,0.9997167268889547,0.9990701935999098,0.999922827147761,2000,20260802
3.154121863799283,0.999506199127896,0.9985125562157241,0.999851532307998,2000,20260802
3.942652329749104,0.9992401477969364,0.997884643286174,0.9997533733447836,2000,20260802
4.731182795698925,0.9989197261792084,0.9971639088979726,0.9996268610918103,2000,20260802
5.519713261648746,0.9985477278326763,0.996365735461769,0.9994714104328827,2000,20260802
6.308243727598566,0.998121930407627,0.9955038516259678,0.9992852988762324,2000,20260802
7.096774193548387,0.9976451011731617,0.9945588639935005,0.9990674584321898,2000,20260802
7.885304659498208,0.9971158537720937,0.9935403230975646,0.9988169216454222,2000,20260802
8.67383512544803,0.9965336574203991,0.9924443386304517,0.9985317538889567,2000,20260802
9.46236559139785,0.9958990469596827,0.9912832190358862,0.9982109343633033,2000,20260802
10.25089605734767,0.9952145959825377,0.9900925696795982,0.9978543125435657,2000,20260802
11.039426523297491,0.9944881219174768,0.9888871922787086,0.9974611330424222,2000,20260802
11.827956989247312,0.9937092535340637,0.9876343747058899,0.9970306889628889,2000,20260802
12.616487455197133,0.9928794574913604,0.9863047333250051,0.9965623168614716,2000,20260802
13.405017921146953,0.9920041527402899,0.9849118155067674,0.996055392637526,2000,20260802
14.193548387096774,0.9910743443370713,0.9834751398395919,0.9955093281354209,2000,20260802
14.982078853046595,0.9900960084566051,0.9819780756219244,0.9949235683046121,2000,20260802
15.770609318996415,0.989077852140092,0.9804412896931723,0.994297588802868,2000,20260802
16.559139784946236,0.9880054411424184,0.9788580762086023,0.9936308939560713,2000,20260802
17.34767025089606,0.9868897206055098,0.9772329716856357,0.9929230150082347,2000,20260802
18.136200716845877,0.9857244240283891,0.9755721913350954,0.9921735086101278,2000,20260802
18.9247311827957,0.9845073728162295,0.9738508954915178,0.9913823429625944,2000,20260802
19.71326164874552,0.9832521744693109,0.9720782129885116,0.9905521464368539,2000,20260802
20.50179211469534,0.9819468010725352,0.9702346097869496,0.9896796660512948,2000,20260802
21.29032258064516,0.9805869338503785,0.9684226262205584,0.988764568977451,2000,20260802
22.078853046594983,0.9791958284606089,0.9665047287691111,0.9878065419545191,2000,20260802
22.8673835125448,0.9777496942313249,0.9645207983322165,0.9868052906026298,2000,20260802
23.655913978494624,0.9762518974433918,0.9624884004998111,0.9857613356812763,2000,20260802
24.444444444444443,0.9747247824003737,0.9604156275377845,0.9846791780839816,2000,20260802
25.232974910394265,0.9731629035931371,0.9583037225215526,0.983553727655377,2000,20260802
26.021505376344088,0.971560553696921,0.9561994154149754,0.9823847805369572,2000,20260802
26.810035842293907,0.9698844342832951,0.9541062906380695,0.9811721485069202,2000,20260802
27.59856630824373,0.9681632011434684,0.9519170104091271,0.9799156586190902,2000,20260802
28.387096774193548,0.9664291856211471,0.9496823931534223,0.9786151528729388,2000,20260802
29.17562724014337,0.9646381903907641,0.9473947767094586,0.9772704879110161,2000,20260802
29.96415770609319,0.9628322771464966,0.9450328648040914,0.9758815347405915,2000,20260802
30.752688172043012,0.9609764713713167,0.9426527162333412,0.9744481784767053,2000,20260802
31.54121863799283,0.9590494426669954,0.9402371565115976,0.9729703181041903,2000,20260802
32.32974910394265,0.9570749376331531,0.9378651819491253,0.9714478662565069,2000,20260802
33.11827956989247,0.9550583587447116,0.9354343015115382,0.9698807490094984,2000,20260802
33.90681003584229,0.9530225706642502,0.9329207151721551,0.9682586014402343,2000,20260802
34.69534050179212,0.9509241486389236,0.930421349947857,0.9665832001689086,2000,20260802
35.483870967741936,0.9488093519587324,0.9279899757595236,0.9648612989769435,2000,20260802
36.272401433691755,0.9466680347792403,0.9254201953241801,0.9630926532506868,2000,20260802
37.060931899641574,0.9445047051968889,0.922826245076268,0.9612776470547368,2000,20260802
37.8494623655914,0.9422644749530644,0.920424445941088,0.9594220408078118,2000,20260802
38.63799283154122,0.9400627634422904,0.9180621598528068,0.9575183233917256,2000,20260802
39.42652329749104,0.9377406157059455,0.915587075453514,0.9555559029147127,2000,20260802
40.215053763440864,0.9353870441300753,0.9129878031986742,0.9535564063404554,2000,20260802
41.00358422939068,0.9329995671630649,0.9102914946076757,0.9515155583598527,2000,20260802
41.7921146953405,0.9305820938249882,0.9075619174727797,0.949442580874273,2000,20260802
42.58064516129032,0.9281281843553235,0.9048051074028144,0.9473246212315649,2000,20260802
43.369175627240146,0.9256801074057981,0.9020162226771732,0.9451617651409678,2000,20260802
44.157706093189965,0.9231350732396295,0.8992378730448869,0.9429429395308213,2000,20260802
44.946236559139784,0.9205547661639668,0.8964907571760119,0.9406621902402736,2000,20260802
45.7347670250896,0.9179589749482169,0.8935936391820916,0.9383352603585743,2000,20260802
46.52329749103943,0.9153061899128021,0.8906719548739817,0.9359620194815287,2000,20260802
47.31182795698925,0.9126536480955553,0.8877261921023177,0.9335420079816502,2000,20260802
48.10035842293907,0.9099665694529036,0.8847946472862379,0.9310761445385519,2000,20260802
