model,h_min,scale,m,r2,rmse
constant_deltaT_scale,0.0,162.0911095806199,1.9562774690314044,0.9020121903824188,0.04115074995868107
pressure_dependent_Tref_scale,0.0,264.5918853667119,1.6592530319101357,0.935177484712356,0.03346991959410343
