C_sf,surface,n,median_exp_over_model,min_exp_over_model,max_exp_over_model,n_within_30pct
0.0128,Flat Cu,10,1.4308296646499874,1.3066210846954092,1.77084999052219,0
0.0128,MC Cu,10,2.1437422234218575,1.734022897919518,3.1567461188425767,0
0.0128,MP Cu,10,1.8048864113115441,1.4543766765138388,2.11080194398874,0
0.0128,All,30,1.7758957808508349,1.3066210846954092,3.1567461188425767,0
0.0107,Flat Cu,10,0.8358134579047267,0.7632575099270427,1.0344349789329887,10
0.0107,MC Cu,10,1.252258493713084,1.0129225792579746,1.8440006903005914,6
0.0107,MP Cu,10,1.0543172187673222,0.8495683512337407,1.2330165604924193,10
0.0107,All,30,1.037382457285332,0.7632575099270427,1.8440006903005914,26
