H_min,DeltaT_s_K,m,RSS,within_approx_95pct_profile,RSS_95pct_threshold
0.0,162.09111350781734,1.9562773718604924,0.050801526664792235,True,0.05872281768199147
0.001,161.97360013980375,1.956649653527088,0.05080712911591988,True,0.05872281768199147
0.002,161.85604169580373,1.957023041489243,0.05081274999728223,True,0.05872281768199147
0.003,161.73844225085492,1.9573974335535484,0.05081838939768439,True,0.05872281768199147
0.004,161.62079929295302,1.95777289985156,0.0508240474066175,True,0.05872281768199147
0.005,161.5031158794454,1.9581493676981467,0.05082972411402865,True,0.05872281768199147
0.006,161.38539429818837,1.958526779390172,0.05083541961043257,True,0.05872281768199147
0.007,161.26763432244158,1.9589051436298064,0.05084113398697169,True,0.05872281768199147
0.008,161.14983570230729,1.959284469651538,0.050846867335369764,True,0.05872281768199147
0.009000000000000001,161.0319987130329,1.9596647534381952,0.05085261974792199,True,0.05872281768199147
0.01,160.9141224442807,1.960046021014855,0.05085839131754395,True,0.05872281768199147
0.011,160.79620910411296,1.9604282204847585,0.05086418213766098,True,0.05872281768199147
0.012,160.678255361482,1.9608114353526147,0.050869992302443275,True,0.05872281768199147
0.013000000000000001,160.5602644081838,1.9611955908851275,0.05087582190649054,True,0.05872281768199147
0.014,160.44223328279529,1.961580764249762,0.050881671045180744,True,0.05872281768199147
0.015,160.32416379097762,1.961966912600366,0.05088753981436711,True,0.05872281768199147
0.016,160.2060554196751,1.9623540478044645,0.050893428310582,True,0.05872281768199147
0.017,160.0882826746908,1.9627324560519734,0.05089933662447364,True,0.05872281768199147
0.018000000000000002,159.97009642982522,1.963121562740633,0.05090526486681359,True,0.05872281768199147
0.019,159.85186937266303,1.9635117172782914,0.05091121312956011,True,0.05872281768199147
0.02,159.73322921026872,1.9639126615093223,0.05091718151825817,True,0.05872281768199147
0.021,159.61492423701964,1.9643048487965717,0.05092317011950693,True,0.05872281768199147
0.022,159.49658096792902,1.9646980353397883,0.05092917904016026,True,0.05872281768199147
0.023,159.37819640907423,1.965092290455312,0.050935208381276756,True,0.05872281768199147
0.024,159.25977380663926,1.9654875390664974,0.05094125824440804,True,0.05872281768199147
0.025,159.14131108995244,1.9658838352504904,0.050947328731917124,True,0.05872281768199147
0.026000000000000002,159.02280906940922,1.9662811629227628,0.05095341994675538,True,0.05872281768199147
0.027,158.90426669349245,1.9666795562245922,0.05095953199260375,True,0.05872281768199147
0.028,158.78568470558213,1.967078990840428,0.05096566497375528,True,0.05872281768199147
0.029,158.6670634940103,1.9674794667645688,0.05097181899521913,True,0.05872281768199147
0.03,158.54840191337146,1.9678810105000495,0.05097799416271771,True,0.05872281768199147
0.031,158.42970059718238,1.9682836158866737,0.050984190582638506,True,0.05872281768199147
0.032,158.31095867888834,1.9686873040458759,0.0509904083620934,True,0.05872281768199147
0.033,158.19217723468307,1.9690920514163117,0.05099664760886208,True,0.05872281768199147
0.034,158.07335547876977,1.969497882547682,0.05100290843148003,True,0.05872281768199147
0.035,157.9544927704583,1.969904817182677,0.0510091909391934,True,0.05872281768199147
0.036000000000000004,157.83559084002115,1.9703128121605,0.051015495241926175,True,0.05872281768199147
0.037,157.71664871019178,1.9707218984506139,0.05102182145039014,True,0.05872281768199147
0.038,157.59766547088913,1.9711321023544,0.05102816967602433,True,0.05872281768199147
0.039,157.4786423040483,1.9715433960274686,0.05103454003097719,True,0.05872281768199147
0.04,157.35957864029075,1.971955799313047,0.0510409326281751,True,0.05872281768199147
0.041,157.24047349709915,1.9723693377195768,0.05104734758129643,True,0.05872281768199147
0.042,157.12132850750743,1.9727839757074452,0.05105378500475627,True,0.05872281768199147
0.043000000000000003,157.00214283013875,1.9731997397072432,0.05106024501376237,True,0.05872281768199147
0.044,156.88291620670432,1.9736166367753756,0.05106672772428614,True,0.05872281768199147
0.045,156.76339454228733,1.9740417683210383,0.051073233256509046,True,0.05872281768199147
0.046,156.6442857402004,1.9744553824136857,0.05107976171783801,True,0.05872281768199147
0.047,156.5251397848837,1.97487000154327,0.05108631323756356,True,0.05872281768199147
0.048,156.40560191487813,1.9752955979031868,0.0510928879283994,True,0.05872281768199147
0.049,156.28617119312383,1.975718205469642,0.05109948591359399,True,0.05872281768199147
0.05,156.16669898748123,1.976141983523918,0.05110610731273138,True,0.05872281768199147
0.051000000000000004,156.0471859097616,1.976566919712215,0.05111275224738179,True,0.05872281768199147
0.052000000000000005,155.92763178933845,1.9769930240059732,0.051119420839936446,True,0.05872281768199147
0.053,155.8080367451129,1.9774202914739951,0.0511261132136276,True,0.05872281768199147
0.054,155.68840081038917,1.9778487309859656,0.051132829492520404,True,0.05872281768199147
0.055,155.5687240775334,1.9782783423765604,0.051139569801533724,True,0.05872281768199147
0.056,155.4490057740135,1.9787091465207416,0.05114633426642508,True,0.05872281768199147
0.057,155.32924616422113,1.9791411465884534,0.05115312301382244,True,0.05872281768199147
0.058,155.2094456354584,1.9795743299448954,0.05115993617124248,True,0.05872281768199147
0.059000000000000004,155.08960336418497,1.9800087276957805,0.051166773867031626,True,0.05872281768199147
