group,n,onb_vf_mean,onb_vf_std,chf_vf_mean,chf_vf_std,nbr_vf_mean,nbr_vf_std,nbr_vf_over_chf_vf_mean,nbr_vf_over_chf_vf_std,delta_vf_chf_to_nbr_mean,delta_vf_chf_to_nbr_std
All image-analyzed cases,21,0.1256047619047619,0.035357778156870606,0.6131285714285714,0.09918379980045704,0.5386238095238095,0.0877373689186193,0.8852924226696098,0.12100365559983181,-0.07450476190476192,0.07813292184598293
Flat Cu,9,0.1141888888888889,0.040103037429989156,0.5304222222222222,0.06327821066089373,0.4851888888888889,0.0902270808078767,0.9140330827813421,0.13123302163561076,-0.04523333333333335,0.07092007825714802
MC Cu,4,0.1423,0.03148809298766758,0.6825749999999999,0.10350917431158778,0.61135,0.03625047126130455,0.9074103303202832,0.10605731805798187,-0.07122500000000004,0.07741749909850267
MP Cu,8,0.1301,0.030968739999277607,0.6714500000000001,0.05916999722349642,0.5623750000000001,0.06919976775353265,0.8419002262185742,0.11763277151344279,-0.109075,0.08155823073117763
