pressure_kpa,T_sat_C,DeltaT_MFB_Berenson_K,T_MFB_Berenson_C,T_MFB_Henry_Cu_C
1.0,6.969570223727544,1.753798853683298,8.723369077410842,13.037959253358366
1.4977168949771689,12.9961308554889,2.5018552880662317,15.497986143555131,20.489582593434168
1.9954337899543377,17.458498572806832,3.2166943215879584,20.67519289439479,26.205271646947324
2.493150684931507,21.032216242100105,3.9070401585808234,24.93925640068093,30.923350888769644
2.9908675799086755,24.028244494054945,4.577990915938191,28.606235409993136,34.986458313517204
3.4885844748858448,26.61666505116682,5.232894515400825,31.849559566567645,38.58330756529145
3.9863013698630136,28.901095626769006,5.874118396508592,34.7752140232776,41.829579921084566
4.4840182648401825,30.949539475393863,6.503425068303063,37.45296454369692,44.80162483190873
4.981735159817351,32.80913445160439,7.122177471564702,39.9313119231691,47.55264257283991
5.47945205479452,34.513955152512324,7.73146082280452,42.245415975316845,50.121278784865424
5.9771689497716896,36.089465961316876,8.332159499037605,44.42162546035448,52.536547789469765
6.474885844748858,37.55521802051658,8.925007953600021,46.4802259741166,54.82082460998687
6.972602739726027,38.92656253551013,9.510625773887977,48.43718830939811,56.99175185619528
7.470319634703196,40.215782811321105,10.0895426081368,50.3053254194579,59.06350353228318
7.968036529680365,41.43286727785818,10.662216373291491,52.09508365114967,61.04765056997661
8.465753424657533,42.586052365398075,11.22904686404125,53.815099229439326,62.95377037491
8.963470319634702,43.68221307164839,11.790386128062208,55.4725991997106,64.78988654261445
9.461187214611872,44.72714992448641,12.346546513617552,57.073696438103966,66.56279277355506
9.95890410958904,45.725803757140966,12.897807007206442,58.623610764347404,68.27829591543079
10.456621004566209,46.68241910980595,13.444418292218911,60.12683740202486,69.94140132194106
10.954337899543379,47.60067037643449,13.98660683551579,61.58727721195028,71.55645629003735
11.452054794520548,48.483760477170335,14.52457822454913,63.00833870171947,73.12726251603083
11.949771689497716,49.33449896035461,15.058519919166713,64.39301887952132,74.6571653081027
12.447488584474884,50.15536449092832,15.588603540933379,65.7439680318617,76.14912512090139
12.945205479452055,50.94855533923504,16.114986793127674,67.06354213236271,77.60577547752432
13.442922374429223,51.7160305423285,16.63781508293989,68.35384562526839,79.02947029001871
13.940639269406391,52.45954373893801,17.157222901401507,69.61676664033952,80.42232283733279
14.438356164383562,53.18067119448233,17.67333500460435,70.85400619908668,81.78623811536784
14.93607305936073,53.88083517770474,18.1862674307013,72.06710260840603,83.12293987473097
15.433789954337898,54.56132358766001,18.696128380242218,73.25745196790223,84.433993365768
15.931506849315067,55.22330653290214,19.203018982031512,74.42632551493365,85.72082458834882
16.429223744292237,55.86785041572256,19.70703396251359,75.57488437823615,86.98473667557613
16.926940639269404,56.49592996043987,20.20826223339721,76.70419219383707,88.22692391178539
