pressure_kpa,T_sat_C,q_CHF_Zuber_W_cm2,q_MHF_Berenson_scale_W_cm2,H_min_hydrodynamic_scale
10.0,45.80632892379731,41.57814177655247,0.2370409242539911,0.005701094712887522
11.0,47.68310750823417,43.343983841044206,0.2585427747779784,0.005964905665481389
12.0,49.41865517027213,45.01810813910177,0.2798508095385758,0.006216405377895108
13.0,51.03427428741446,46.61218786249625,0.3009809856605726,0.006457130623184912
14.0,52.54669627844339,48.13564393970917,0.32194681319057133,0.006688324635145963
15.0,53.96931290279599,49.59620722910447,0.34275987940478475,0.006911009904879248
16.0,55.31301719554682,51.00031264732084,0.3634302330818801,0.007126039316564306
17.0,56.586794130537896,52.353382754243825,0.38396667261799144,0.007334133009521083
18.0,57.79814564055056,53.660036424558214,0.4043769663221131,0.007535905550318351
19.0,58.953402948818905,54.92424542326396,0.4246680237582042,0.0077318863552075295
20.0,60.057960373005926,56.149453925684035,0.4448460310294348,0.007922535304051322
21.0,61.11645323592069,57.33867115040552,0.46491655902461854,0.008108254860059318
22.0,62.13289523806657,58.4945441352875,0.4848846510663798,0.008289399605285028
23.0,63.110785930098814,59.61941561472548,0.5047548946425054,0.008466283834520433
24.0,64.05319579538349,60.71537055808465,0.5245314806798403,0.008639187669587493
25.0,64.96283433540259,61.784273966759336,0.5442182529549258,0.008808362031537694
26.0,65.84210509031107,62.82780185291716,0.5638187496127042,0.008974032720938262
27.0,66.69315050246558,63.84746684274879,0.583336238309793,0.009136403794163103
28.0,67.51788880087145,64.8446394999668,0.6027737461618337,0.009295660378559776
29.0,68.31804455711767,65.82056621104657,0.6221340854217048,0.009451971036330784
30.0,69.09517417731416,66.77638428513596,0.6414198756238194,0.009605489762442795
31.0,69.85068730853095,67.71313478008524,0.6606335627827045,0.009756357683457893
32.0,70.58586492398138,68.63177345876404,0.6797774361202374,0.009904704510202806
33.0,71.30187468902051,69.53318019771136,0.6988536427072145,0.010050649786477288
34.0,71.99978408610315,70.41816710666227,0.7178642003346742,0.01019430396771513
35.0,72.68057168129513,71.28748556802758,0.7368110088748993,0.010335769357046293
36.0,73.34513684063552,72.14183236652723,0.7556958603474879,0.010475140921124148
37.0,73.99430814642795,72.98185504840116,0.7745204478700018,0.010612507004053874
38.0,74.62885071758029,73.80815662509313,0.7932863736436889,0.010747949954544578
39.0,75.24947260157302,74.62129971660835,0.8119951561009441,0.010881546678826067
