xi,H_median,H_lower_95,H_upper_95,n_successful_bootstrap,seed
0.0,1.0,1.0,1.0,2000,20260803
0.003232842292758029,0.9999258707354827,0.9998059157579441,0.9999755531221286,2000,20260803
0.006465684585516058,0.9997660248569724,0.9994547450666762,0.99991176125931,2000,20260803
0.009698526878274086,0.9995417073380741,0.9990023790397303,0.9998130501742604,2000,20260803
0.012931369171032115,0.9992616285519251,0.9984686625619543,0.9996815369488428,2000,20260803
0.016164211463790143,0.9989311559800305,0.9978650675740224,0.9995186262534479,2000,20260803
0.019397053756548172,0.9985540841443494,0.9971993487706475,0.9993253649845464,2000,20260803
0.0226298960493062,0.9981333061378186,0.9964772154443021,0.9991025855237631,2000,20260803
0.02586273834206423,0.9976711376005739,0.9957031072645869,0.9988509780129552,2000,20260803
0.02909558063482226,0.9971694962731394,0.9948806112655,0.9985711318497459,2000,20260803
0.032328422927580286,0.9966300111355428,0.9940127089594812,0.9982635616603728,2000,20260803
0.03556126522033832,0.996054093308093,0.9931019334295043,0.997928724601438,2000,20260803
0.038794107513096344,0.9954429844921343,0.9921504746448757,0.9975670324430082,2000,20260803
0.04202694980585438,0.9947977914030097,0.9911602530761572,0.9971788603264623,2000,20260803
0.0452597920986124,0.9941195110418042,0.9901329729161947,0.9967645533055329,2000,20260803
0.048492634391370436,0.9934090497397357,0.9890701616430451,0.9963244313541284,2000,20260803
0.05172547668412846,0.9926672378316528,0.987973200125555,0.9958587932808441,2000,20260803
0.05495831897688649,0.9918948411775622,0.9868433459933759,0.9953679198434918,2000,20260803
0.05819116126964452,0.9910925703579537,0.9856817520929079,0.9948520762652111,2000,20260803
0.061424003562402546,0.9902610881176024,0.9844894812825261,0.9943115142943061,2000,20260803
0.06465684585516057,0.9894010154672281,0.9832675184505653,0.9937464739103155,2000,20260803
0.06788968814791861,0.988512936740683,0.9820167803921444,0.9931571847517212,2000,20260803
0.07112253044067664,0.9875974038280668,0.9807381240114412,0.9925438673217342,2000,20260803
0.07435537273343466,0.9866549397506126,0.9794323531974742,0.9919067340150625,2000,20260803
0.07758821502619269,0.9856860417039561,0.9781002246369194,0.9912459899987406,2000,20260803
0.08082105731895071,0.9846911836677215,0.9767424527662081,0.9905618339728379,2000,20260803
0.08405389961170875,0.9836708186580775,0.9753597140200271,0.9898544588314363,2000,20260803
0.08728674190446678,0.9826253806839071,0.9739526504996534,0.9891240522401428,2000,20260803
0.0905195841972248,0.9815552864550551,0.9725218731590873,0.9883707971432388,2000,20260803
0.09375242648998283,0.9804609368817233,0.9710679645874627,0.9875948722111136,2000,20260803
0.09698526878274087,0.9793427183967873,0.9695914814511486,0.9867964522366993,2000,20260803
0.1002181110754989,0.978201004127065,0.9680929566471981,0.9859757084881042,2000,20260803
0.10345095336825692,0.977036154935024,0.9665729012105283,0.9851328090234256,2000,20260803
0.10668379566101495,0.9758485203487741,0.9650318060098544,0.9842679189727367,2000,20260803
0.10991663795377297,0.9746384393952701,0.9634701432614997,0.9833812007914605,2000,20260803
0.11314948024653101,0.9734062413492695,0.9618883678854463,0.9824728144886848,2000,20260803
0.11638232253928904,0.9721522464086553,0.960286918724121,0.981542917833446,2000,20260803
0.11961516483204707,0.9708767663051359,0.9586662196412515,0.9805916665415698,2000,20260803
0.12284800712480509,0.9695801048580202,0.9570266805155291,0.9796192144452872,2000,20260803
0.12608084941756312,0.9682625584776703,0.9553686981416538,0.9786257136475432,2000,20260803
0.12931369171032114,0.9669244166243184,0.9536926570495581,0.9776113146626556,2000,20260803
0.13254653400307917,0.9655659622271653,0.9519989302510995,0.9765761665447645,2000,20260803
0.13577937629583722,0.9641874720680328,0.9502878799222614,0.9755204170053338,2000,20260803
0.13901221858859525,0.9627892171332899,0.9485598580278337,0.9744442125208013,2000,20260803
0.14224506088135327,0.9613714629373065,0.9468152068946543,0.9733476984313492,2000,20260803
0.1454779031741113,0.9599344698202885,0.9450542597387147,0.9722310190316452,2000,20260803
0.14871074546686933,0.9584784932230064,0.9432773411507912,0.9710943176543093,2000,20260803
0.15194358775962735,0.9570037839406341,0.9414847675446945,0.9699377367467721,2000,20260803
0.15517643005238538,0.9555105883576585,0.9396768475717472,0.968761417942122,2000,20260803
0.1584092723451434,0.9539991486656023,0.9378538825046884,0.9675655021244686,2000,20260803
0.16164211463790143,0.9524697030651107,0.9360161665938357,0.9663501294892932,2000,20260803
0.16487495693065948,0.9509224859537797,0.9341639873980255,0.9651154395992159,2000,20260803
0.1681077992234175,0.9493577281009664,0.9322976260925773,0.9638615714355521,2000,20260803
0.17134064151617553,0.9477756568106862,0.9304173577562879,0.9625886634460068,2000,20260803
0.17457348380893356,0.9461764960735914,0.9285234516392545,0.9612968535888118,2000,20260803
0.1778063261016916,0.9445604667089271,0.9266161714131366,0.9599862793735844,2000,20260803
0.1810391683944496,0.9429277864972718,0.9246957754053085,0.9586570778991625,2000,20260803
0.18427201068720764,0.941278670304791,0.92276251681821,0.957309385888641,2000,20260803
0.18750485297996566,0.9396133301996644,0.9208166439350726,0.9559433397218216,2000,20260803
0.1907376952727237,0.9379319755612876,0.9188584003130909,0.9545590754652605,2000,20260803
0.19397053756548174,0.9362348131827882,0.9168880249650045,0.9531567289000921,2000,20260803
0.19720337985823977,0.9345220473673554,0.9149057525299714,0.9517364355477805,2000,20260803
0.2004362221509978,0.9327938800188327,0.9129118134345245,0.9502983306939473,2000,20260803
0.20366906444375582,0.9310505107269837,0.9109064340443465,0.9488425494104052,2000,20260803
0.20690190673651385,0.9292921368478126,0.9088898368075196,0.9473692265755204,2000,20260803
0.21013474902927187,0.9275189535792782,0.9068622403898583,0.9458784968930126,2000,20260803
0.2133675913220299,0.9257311540327218,0.9048238598028808,0.944370494909298,2000,20260803
0.21660043361478792,0.9239289293002988,0.9027749065249221,0.9428453550294676,2000,20260803
0.21983327590754595,0.9221124685186781,0.9007155886158601,0.9413032115319885,2000,20260803
0.223066118200304,0.9202819589292588,0.8986461108258776,0.939744198582208,2000,20260803
0.22629896049306203,0.9184375859351277,0.8965666746986576,0.9381684502447368,2000,20260803
0.22953180278582005,0.9165795331549687,0.8944774786693701,0.9365761004947779,2000,20260803
0.23276464507857808,0.9147079824741144,0.8923787181577889,0.9349672832284662,2000,20260803
0.2359974873713361,0.9128231140929226,0.8902705856568431,0.9333421322722781,2000,20260803
0.23923032966409413,0.9109251065726388,0.8881532708168907,0.9317007813915666,2000,20260803
0.24246317195685216,0.9090141368789003,0.8860269605259761,0.9300433642982708,2000,20260803
0.24569601424961018,0.9070903804230241,0.8838918389863174,0.9283700146578521,2000,20260803
0.2489288565423682,0.90515401110121,0.8817480877872496,0.9266808660954959,2000,20260803
0.25216169883512624,0.9032052013317813,0.879595885974832,0.9249760522016267,2000,20260803
0.2553945411278843,0.9012441220905796,0.8774354101183179,0.9232557065367683,2000,20260803
0.2586273834206423,0.8992709429446168,0.8752668343736661,0.9215199626357921,2000,20260803
0.26186022571340034,0.8972858320840872,0.8730903305442632,0.919768954011583,2000,20260803
0.26509306800615834,0.895288956352829,0.8709060681390157,0.9180028141581567,2000,20260803
0.2683259102989164,0.8932804812773247,0.868714214427957,0.9162216765532573,2000,20260803
0.27155875259167445,0.8912605710943189,0.866514934495507,0.9144256746604644,2000,20260803
0.27479159488443244,0.88922938877713,0.8643083912915124,0.9126149419308349,2000,20260803
0.2780244371771905,0.8871870960607284,0.8620947456801866,0.9107896118041034,2000,20260803
