case,power_label,nominal_power_W,mean_pressure_kPa,pressure_std_kPa,mean_liquid_temperature_C,saturation_temperature_C,subcooling_K,maximum_heat_flux_W_cm2,q_DNB_raw_W_cm2,q_DNB_plot_W_cm2,t_DNB_s,dnb_resolved_for_plot,maximum_wall_temperature_C,heating_duration_s,mean_power_during_heating_W
Case A,$P_{\mathrm{load}}$ = 150 W,150.0,97.28,0.058553759792702,58.82916830055351,98.83684632222776,40.007678021674245,142.0218777952753,-1.0178233700787986,,1.2,False,112.73542023600008,536.6999999999999,149.72504001694202
Case B,$P_{\mathrm{load}}$ = 180 W,180.0,97.3,0.0585762688891176,52.38415033152543,98.84256591905148,46.45841558752605,163.11568639370063,152.42367187401564,152.42367187401564,178.0,True,159.17895174600005,568.0,178.64970755129238
Case C,$P_{\mathrm{load}}$ = 230 W,230.0,97.47,0.0581731843960993,57.26520791076426,98.89114320272596,41.625935291961696,267.23561508661413,188.25450132283467,188.25450132283467,150.8,True,166.968477178,753.1,227.64914918957385
Case D,$P_{\mathrm{load}}$ = 250 W,250.0,97.51,0.0582134689571477,57.60048842093023,98.90256294901906,41.30207452808882,277.95529029921306,190.67491149606312,190.67491149606312,124.8,True,172.869782979,669.8000000000001,247.97395298375767
