case,nominal_power_W,band_power_mean_V2,band_power_max_V2,median_peak_frequency_Hz,median_centroid_frequency_Hz,dominant_slow_modulation_Hz
Case C,230.0,5.3454142157011596e-06,5.336068785801814e-05,8422.8515625,8565.464130193286,0.05501621878129706
Case D,250.0,4.854611507127646e-06,4.988348159708457e-05,8422.8515625,8485.341637361846,0.0800619407210555
