case,band_min_Hz,band_max_Hz,dominant_slow_modulation_Hz,dominant_period_s,window_start_s,window_end_s,samples,band_power_mean_V2,band_power_max_V2
Case C,0,3000,0.05500014077889445,18.181771643459797,300.0,700.0,1252,0.007981572303638176,0.06378405678005013
Case C,0,6000,0.05500014077889445,18.181771643459797,300.0,700.0,1252,0.008046542697118542,0.06394614513499133
Case C,0,10000,0.05500014077889445,18.181771643459797,300.0,700.0,1252,0.008046543134091363,0.0639461462320857
Case D,0,3000,0.07500019197121971,13.33329920520385,300.0,700.0,1252,0.01552935088672991,0.5084278046988258
Case D,0,6000,0.07500019197121971,13.33329920520385,300.0,700.0,1252,0.015648733159043332,0.5090985630797183
Case D,0,10000,0.07500019197121971,13.33329920520385,300.0,700.0,1252,0.015648734223079445,0.5090985682914061
