case,nominal_power_W,hydrophone_available,band_power_mean_V2,band_power_max_V2,median_peak_frequency_Hz,median_centroid_frequency_Hz,dominant_slow_modulation_Hz,power_centroid_best_lag_s,power_centroid_best_correlation
Case A,150.0,False,,,,,,,
Case B,180.0,True,0.00408833249264023,0.02318799468347068,979.6874998617823,1102.832248520049,0.004999999999294005,0.0,-0.8030045927669512
Case C,230.0,True,0.008100962913843041,0.059467704607578296,918.7499998763791,1057.37742984591,0.04999999999327756,0.6400000000860473,0.8239726108133455
Case D,250.0,True,0.015699904145764908,0.3443237708393874,917.1874998840765,1058.4925354442587,0.07999999998989779,-0.6400000000808177,0.6372684994227514
