case,Signal key,Signal label,Y label,Color,window_start_s,window_end_s,sample_count,sample_spacing_s,baseline_window_s,envelope_smooth_window_s,envelope_slope_per_s,envelope_intercept,envelope_linear_r2,envelope_p_value,envelope_normalization,envelope_fit_start,envelope_fit_end,envelope_fit_percent_change,envelope_asymptotic_initial,envelope_asymptotic_growth,envelope_asymptote,envelope_time_constant_s,envelope_time_to_95_percent_s,envelope_saturation_fraction_at_end,envelope_r2
Case C,wall_temperature,$T_{\mathrm{w}}$,Wall temperature (C),tab:purple,321.6000000000049,700.0,3784,0.1000000000000227,75.0,35.0,0.0381117709797683,-5.425837067290109,0.7922557642618359,0.0,3.0964903125170182,0.8572758557544383,18.36665402492818,2042.4438705047587,0.8572758557544383,17.972066034241344,18.82934188999578,103.37417698830347,631.381358255943,0.9742551655337754,0.9704070119686128
Case C,heat_flux,$q''$,Heat flux (W/cm$^2$),tab:red,321.6000000000049,700.0,3784,0.1000000000000227,75.0,35.0,0.0761910293990153,-10.63890353906988,0.7928849715897384,0.0,6.258651180127528,2.269208223493929,37.00100406721853,1530.5689219761248,2.269208223493929,35.733671517428746,38.00287974092267,105.84128905272138,638.7721654897941,0.971962699852561,0.9630883250128196
Case C,hydrophone_power,Hydrophone power,Band-integrated power (V$^2$),tab:blue,321.6000000000049,700.0,1183,0.3200000000430236,75.0,35.0,3.437850807654551e-05,-0.0063224993816716,0.8439130780280613,0.0,0.0035224208665669,0.0041735336059771,0.0172328823856094,312.9086767368848,0.0041735336059771,0.0336433198629508,0.0378168534689279,769.872943828076,2627.9332244050584,0.3881706333629003,0.8478185729989489
Case D,wall_temperature,$T_{\mathrm{w}}$,Wall temperature (C),tab:purple,308.0000000000018,673.8934380000007,3658,0.1000000000000227,75.0,35.0,0.0264246069628005,-0.7089943776255687,0.9001019993540071,0.0,7.072532697588465,6.014918241684951,16.05039139236233,166.84305168321214,6.014918241684951,12.810913693999868,18.825831935684818,239.09962791949064,1024.378471953169,0.7833534274278658,0.9349556334216644
Case D,heat_flux,$q''$,Heat flux (W/cm$^2$),tab:red,308.0000000000018,673.8934380000007,3658,0.1000000000000227,75.0,35.0,0.0558876541264309,-0.2226280277703516,0.907453085246659,0.0,16.25147358208656,14.129249754854452,35.27946094079259,149.69097123271857,14.129249754854452,27.41575536090225,41.5450051157567,247.7554291015014,1050.3089349075854,0.7714619169713107,0.9383095992007896
Case D,hydrophone_power,Hydrophone power,Band-integrated power (V$^2$),tab:blue,308.0000000000018,673.8934380000007,1143,0.3200000000404088,75.0,35.0,5.667913330662835e-05,-0.0026909828956821,0.5921942440724804,1.779695236749869e-224,0.0214109834074769,0.0147247300648297,0.0353667510128914,140.18607374925972,0.0147247300648297,0.4232474342724099,0.4379721643372397,7308.800000922937,22203.36804375523,0.0487705754992859,0.5881282986301506
