test_id,applied_power_W,status,surface,pressure_mean_kPa,pressure_std_kPa,T_sat_C,mean_liquid_temp_C,mean_vapour_temp_C,max_heat_flux_W_cm2,time_at_max_heat_flux_s,max_surface_temp_C,time_at_max_surface_temp_s
Boiling-412,150.0,Failure: CHF not reached,Flat Cu,97.28,0.05855375979270202,98.83684632222776,58.829168300553505,55.76587363505536,142.0218777952753,462.8,112.73542023600007,538.8
Boiling-413,180.0,Failure: CHF not reached,Flat Cu,97.3,0.058576268889117655,98.84256591905148,52.384150331525426,47.83999019084746,163.11568639370063,393.6,159.59306365299997,574.8
Boiling-416,230.0,Failure: CHF not reached,Flat Cu,97.47,0.05817318439609931,98.89114320272597,57.26520791076426,50.88240678622174,267.23561508661413,754.0,166.968477178,749.6
Boiling-417,250.0,Failure: CHF not reached,Flat Cu,97.51,0.058213468957147796,98.90256294901906,57.60048842093023,49.92851421476239,277.95529029921306,608.4,172.869782979,132.4
