Time (s),Band-integrated hydrophone power proxy (V^2),Band-integrated hydrophone power proxy (dB re V^2)
0.3200000000403633,6.816439431753464e-06,-51.6644241990889
0.6400000000807265,1.2168313176455303e-05,-49.1476962135347
0.9600000001210899,3.716270748846557e-05,-44.29892653008153
1.280000000161453,4.2103502709159165e-05,-43.75681772478322
1.6000000002018164,1.0869536394164382e-05,-49.63788978981775
1.9200000002421798,7.1438373395521386e-06,-51.46068442604836
2.240000000282543,2.0041145333894652e-05,-46.980774625464704
2.560000000322906,2.004079906130327e-05,-46.9808496638781
2.8800000003632698,1.5600509711575566e-05,-48.06861211818084
3.200000000403633,1.2703684409696065e-05,-48.960703037102704
3.520000000443996,0.0001186094773571296,-39.25880607772268
3.8400000004843595,0.00018371049242559164,-37.35866038727369
4.160000000524723,1.013868129357435e-05,-49.940185286483825
4.480000000565086,2.6349635643908356e-05,-45.79225385724075
4.800000000605449,3.5877025965275925e-05,-44.451835650817415
5.120000000645812,4.107876825054244e-05,-43.86382587226964
5.440000000686176,3.521712447330573e-05,-44.53246107663422
5.7600000007265395,1.1935599393708446e-05,-49.23155766280719
6.080000000766902,2.753259623529315e-05,-45.60152834102543
6.400000000807266,2.184981917351226e-05,-46.60552152847828
6.720000000847629,7.344787279696251e-06,-51.340207777623434
7.040000000887992,1.625139359028751e-05,-47.8910939144687
7.3600000009283555,1.102051516292342e-05,-49.57798103561768
7.680000000968719,8.10271015130021e-06,-50.91369696319636
8.000000001009083,1.1902995862317356e-05,-49.24343717370146
8.320000001049445,2.2981535607668076e-05,-46.386209554712735
8.640000001089808,0.00035582718762967473,-34.487608719169394
8.960000001130172,0.00022624542939255886,-36.45420185646034
9.280000001170535,1.9700290061579537e-05,-47.05527379360437
9.600000001210898,3.7039863727386e-05,-44.31330619791215
9.920000001251262,0.00017224879353251767,-37.638438113013535
10.240000001291625,0.00010408196277770249,-39.82624526443705
10.56000000133199,1.6226733074730016e-05,-47.89768907803595
10.880000001372352,1.0754088993530756e-05,-49.68426373918095
11.200000001412715,8.757366777687333e-06,-50.57626460707996
11.520000001453079,1.6616438253293974e-05,-47.79462061942549
11.840000001493442,1.6285839886692333e-05,-47.881898392636664
12.160000001533804,1.0913260951900251e-05,-49.620454600616895
12.480000001574169,6.636554173584463e-06,-51.780573561496475
12.800000001614531,1.2114535121935343e-05,-49.16693246640126
13.120000001654894,9.621775589165132e-06,-50.16744776463157
13.440000001695259,1.0339641604644126e-05,-49.85494514609865
13.760000001735621,1.2340885338336997e-05,-49.086536827855916
14.080000001775984,1.3871292723073535e-05,-48.57883063343729
14.400000001816348,1.7030226285293093e-05,-47.687795814090244
14.720000001856711,1.056439610825329e-05,-49.761553234435745
15.040000001897074,1.702752337367745e-05,-47.68848514889008
15.360000001937438,2.2971591404901485e-05,-46.38808917106819
15.6800000019778,1.148614059513592e-05,-49.398258720773136
16.000000002018165,1.760377559801067e-05,-47.543941761899184
16.320000002058528,0.00032044176174178107,-34.94250889241643
16.64000000209889,0.00033914749191460636,-34.696113903096304
16.960000002139253,0.00011445586763955595,-39.41361938086334
17.280000002179616,0.0004025126550849072,-33.95220460769047
17.600000002219982,0.00017546456150960673,-37.5581058458249
17.920000002260345,1.460010193617454e-05,-48.356441120125794
18.240000002300707,9.165394345058924e-06,-50.37848844591706
18.56000000234107,1.2016990628839902e-05,-49.20204277501577
18.880000002381433,2.191886589753939e-05,-46.59181920405845
19.200000002421795,1.104955767325286e-05,-49.5665510694814
19.52000000246216,4.254491813015784e-06,-53.71152307725964
19.840000002502524,3.891055071735206e-06,-54.099326224007164
20.160000002542887,3.656235360311849e-06,-54.369658554998324
20.48000000258325,1.0145757868428948e-05,-49.937155064637146
20.800000002623612,8.18905925164691e-06,-50.86765986552797
21.12000000266398,2.53970214415545e-05,-45.95217214378049
21.44000000270434,2.7190894577298935e-05,-45.655765039390346
21.760000002744704,1.8912891260900915e-05,-47.232420743980974
22.080000002785066,8.388840331779983e-06,-50.76298071628804
22.40000000282543,1.9036547639385414e-05,-47.20411810001558
22.720000002865792,5.593022415381817e-06,-52.52353440128729
23.040000002906158,1.3026983132325063e-05,-48.85156149190348
23.36000000294652,1.3278861629895466e-05,-48.768391545648086
23.680000002986883,0.0002632603746886217,-35.796145049240984
24.000000003027246,0.00015603698614100354,-38.067724466899826
24.32000000306761,0.0006650541695224672,-31.771429794088103
24.64000000310797,0.00019219808934305214,-37.16250934003029
24.960000003148338,6.399708469346378e-05,-41.93839809303287
25.2800000031887,4.143400609713373e-05,-43.826430743829064
25.600000003229063,0.00019945213002773324,-37.00161321327813
25.920000003269426,1.4293624508071934e-05,-48.448576309527965
26.240000003309788,1.6312054528694828e-05,-47.874913354476895
26.56000000335015,7.4523328554068215e-06,-51.277077557567246
26.880000003390517,1.685128145500131e-05,-47.73367067630937
27.20000000343088,1.5143466379807993e-05,-48.19774702292272
27.520000003471242,4.39646107114038e-06,-53.56896767988374
27.840000003511605,5.6184796137054444e-05,-42.50381190607008
28.160000003551968,0.000980163039204715,-30.08701678248694
