Signal key,Signal label,Y label,Color,window_start_s,window_end_s,sample_count,sample_spacing_s,baseline_window_s,envelope_smooth_window_s,envelope_slope_per_s,envelope_intercept,envelope_linear_r2,envelope_p_value,envelope_normalization,envelope_fit_start,envelope_fit_end,envelope_fit_percent_change,envelope_asymptotic_initial,envelope_asymptotic_growth,envelope_asymptote,envelope_time_constant_s,envelope_time_to_95_percent_s,envelope_saturation_fraction_at_end,envelope_r2
wall_temperature,$T_{\mathrm{w}}$,Wall temperature (C),tab:purple,300.4000000000001,545.441967999993,2415,0.10000000000002274,75.0,35.0,0.000842224771261351,-0.2692046368521903,0.464855710011984,0.0,0.0303710650185957,8.915428424038917e-18,0.17794017358823172,,8.915428424038917e-18,3.648514944988989,3.648514944988989,4827.999999907251,14763.895416440815,0.04877057550021047,0.45461156103635514
heat_flux,$q''$,Heat flux (W/cm$^2$),tab:red,300.4000000000001,545.441967999993,2415,0.10000000000002274,75.0,35.0,0.0010534372421128382,-0.2896713789954158,0.3593791384906058,1.2494520028441814e-235,0.080830064686195,0.02591950684438753,0.2800365909809809,980.4086384136529,0.02591950684438753,5.210459001869143,5.236378508713531,4828.000000001097,14763.895416721954,0.048770575499285984,0.3588481302065585
hydrophone_power,Hydrophone power,Band-integrated power (V$^2$),tab:blue,300.4000000000001,545.441967999993,757,0.32000000007366225,75.0,35.0,-1.9109313914552458e-07,0.00015641430684008915,0.06592348459599388,7.326528155245441e-13,5.254619730435595e-05,2.0404112756582113e-05,7.871746542351254e-05,285.79215064433157,2.0404112756582113e-05,5.831335271853321e-05,7.871746547511532e-05,11.605370534954393,335.24658312728667,0.9999999991150779,0.028206668430183268
